dataset,sample_id,retriever,gold_document_count,recall_at_5,mrr_at_5,candidate_recall_at_20,candidate_artifact_id
pubmedqa,0,bm25,2,1.0,1.0,1.0,candidate:sha256:fc400c5883a4d7528bf63a2a0685a7e9fb7d3c5f7fbf30ac570aa12ee65a59e5
pubmedqa,1,bm25,3,1.0,1.0,1.0,candidate:sha256:852fdccacde997f57f8c7afa23aa029b2e38631cd1e18f07acf57ce6db62c52c
pubmedqa,10,bm25,3,1.0,1.0,1.0,candidate:sha256:b9e9c11111e75972ebbd8ffbba351ac73eafa9d347576850e5bc3a65486ce92f
pubmedqa,100,bm25,4,0.75,1.0,0.75,candidate:sha256:f4112e06524ca984318e9ca1feba383724d4a6489240d01848c4342c7cda200b
pubmedqa,101,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:efa33c3a4f2315ceaa9891d19e9b20995659b11f026d56bdcee807b258d07581
pubmedqa,102,bm25,3,0.6666666666666666,0.5,0.6666666666666666,candidate:sha256:aa8e4010d9197d6c50bf2ce027ec14187710c816af31a17cdc19a31b0c550043
pubmedqa,103,bm25,3,0.0,0.0,0.3333333333333333,candidate:sha256:e7c807639ac850fc410ece61298302fdf34c6fd2ce3a24a5b3cdf7007fa9eb7e
pubmedqa,104,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:44324b32cb10aefe7e611c627ef74081adf9d53184b90d474618b4800cff26cf
pubmedqa,105,bm25,3,0.3333333333333333,0.5,0.6666666666666666,candidate:sha256:eb9f44679ceafab1c84e8a7e1432c3c272c32c65eaf7e1fd5d3a106a331d639b
pubmedqa,106,bm25,3,0.0,0.0,0.0,candidate:sha256:6eb9185806e2d56cca86d3b7212577008987ccc33f506c5af1ba0b38d84ce2d9
pubmedqa,107,bm25,3,1.0,1.0,1.0,candidate:sha256:415192323078cf2616318a17a97a3b27730b120e789b0ca42b8bb762e31f1882
pubmedqa,108,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:3297130751de9f43f6a6b097c807c31f9e4cc8ce8c9e67a2c07c4ab45d2b5eb0
pubmedqa,109,bm25,3,1.0,1.0,1.0,candidate:sha256:0daca4b5729e763299c3e5644c966d7dbf316b7c845510ce54038b3623c3a0a7
pubmedqa,11,bm25,3,1.0,1.0,1.0,candidate:sha256:ce473fa7f0602a432e69a37e6e9821c2cdacd9b1e8cff5b1fd0651ae44f0e15e
pubmedqa,110,bm25,3,1.0,1.0,1.0,candidate:sha256:c51fd76faa3cbf3dec6b736e5373b9b06df995061efe74f6240d7a19e45ac981
pubmedqa,111,bm25,3,1.0,1.0,1.0,candidate:sha256:89bf24a71aa75392ad472d19c4639659ed165e649e8131b80f7115e836704f64
pubmedqa,112,bm25,2,1.0,1.0,1.0,candidate:sha256:4f50dfa579e88978fe4f9b2b1727ddd0f15566c06277bdd82d504529db0f9d34
pubmedqa,113,bm25,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,candidate:sha256:902c0fdef8c9fc46ba37a4ae594301e8eeb8123a1dbc3dd8d7c49a86d9c48336
pubmedqa,114,bm25,5,0.4,1.0,0.6,candidate:sha256:a925ee5ed50f9696cb65caa6d3b60dd21a6f9d8335fb9e02938b0dfa3a3ab492
pubmedqa,115,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:051a8d7c9cd5551386e8a46580abd90568d6b218117d048dcd5838618382ae42
pubmedqa,116,bm25,5,0.8,1.0,0.8,candidate:sha256:a94f2c391753a1c5fd55ef55c488a878dcb88f273c26430863e82d2990993595
pubmedqa,117,bm25,3,1.0,1.0,1.0,candidate:sha256:f0d0ee2ca226152a89a5f799585f1d1a634ae82b0072a0efec422f7dfeeede9b
pubmedqa,118,bm25,3,0.0,0.0,0.0,candidate:sha256:4c97a9fcd0201f20224be33862d15f1620170a00c4a0eae7b8597409865952e9
pubmedqa,119,bm25,4,0.5,1.0,0.75,candidate:sha256:2e00a6e4c231107ec314f9224996d22f86eb230881211d96f7b120612a7a7580
pubmedqa,12,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:7225d1a8f3c40d942453f5576852b636a8e4ddc6336adb7d54efa6ca096d648b
pubmedqa,120,bm25,4,0.75,1.0,0.75,candidate:sha256:08724cce4f50d815f9b923f3cc953c6e175a3cb8002a9cb5597b1e2e5751c066
pubmedqa,121,bm25,3,1.0,1.0,1.0,candidate:sha256:3d39a001947333fdb081e3b7388e70a58ffa7a88ab35c4b91c5f426f94198bbf
pubmedqa,122,bm25,3,1.0,1.0,1.0,candidate:sha256:51611b91aee3205cbe15e52f99df58058a9de70a15f0ba7624e0967e99a92da1
pubmedqa,123,bm25,3,0.3333333333333333,1.0,0.6666666666666666,candidate:sha256:bc4d457b4e57ff7e110004d0686458ab36c9e23729591a2fb5aa97a62247c422
pubmedqa,124,bm25,2,0.0,0.0,0.0,candidate:sha256:b2b43809894655b4e05426c91498fe80995a352b845a68563307c3acd931d41a
pubmedqa,125,bm25,3,0.6666666666666666,1.0,1.0,candidate:sha256:9e644e51be42edaf32334429e4ee360fde454cbf6ce775cd6d209c6b21c816cb
pubmedqa,126,bm25,5,0.6,1.0,0.6,candidate:sha256:45c1a4047f70c58982ec56d3de1726d4d3cc187d9beadcee9690ca11dc22038b
pubmedqa,127,bm25,3,1.0,1.0,1.0,candidate:sha256:3272224b394d6543f8b089d243a4d846207ced6fc2a0f861597a955057a22426
pubmedqa,128,bm25,3,0.6666666666666666,1.0,1.0,candidate:sha256:3081ddcf39edd05105fa6a43b51fe6b3f2b910ddecbb2ebab2281702445792d5
pubmedqa,129,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:97156ada998138fb9a8cf8029d00383babe57f35727909421c820abba7b988f1
pubmedqa,13,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:af14060957470c05cab0d0e8c06f88eb20a79f70dbd22862110b5b24b054a30b
pubmedqa,130,bm25,3,0.6666666666666666,1.0,1.0,candidate:sha256:e31e45b28b2983f02cb20eda7bc652f49f51b46f3e9611309e933bb18e520ec1
pubmedqa,131,bm25,2,0.5,0.5,0.5,candidate:sha256:01443471489f785cdbadf3a25a6750b247bef9f0b7b16f881fea5d69b64b2919
pubmedqa,132,bm25,4,0.5,1.0,0.5,candidate:sha256:3b4eddcda5818be8d77d4767bcd15239a218655eda5b1946d550fec097380451
pubmedqa,133,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:713fe0e61ce2e0fe9627e92f4a5b3eebd824094b38bad67292511e0da34642a9
pubmedqa,134,bm25,2,1.0,1.0,1.0,candidate:sha256:7ccd16adb2db47e6b4b7d7584d02d1665ee9b328c7cf69b49893f59f39c693e0
pubmedqa,135,bm25,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,candidate:sha256:86b4518070f063afe8cc71168487aa61148c766a2bc027ca3fadf2e3c10003d4
pubmedqa,136,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:0ff03a428f8ae3bbead0f74ab131cc9bc158a0bdc2b38e835a41d44e0af5d4ec
pubmedqa,137,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:752c0fc07fb163a2d037413736d8e26bff301560798d755f068b19e2ca3bcdb1
pubmedqa,138,bm25,3,0.3333333333333333,1.0,0.6666666666666666,candidate:sha256:7b00d924fabd58ed2fe5a89f65053e1aeef55b869651e6ccfa22bcf3a222dbb1
pubmedqa,139,bm25,3,1.0,1.0,1.0,candidate:sha256:9c74387d2d58de341688702fdcf2f1c2cf1097064d2a5c93678c613c31723686
pubmedqa,14,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:23e02d4a4e3827fd25e648c8697e7b1b06d7a8d35e648ba2542d8f380eaebe8e
pubmedqa,140,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:a733ed1b9f6e685ba74bb928ebab2c11d011927a4819dc7a53c3bfce1b5d3d8a
pubmedqa,141,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:6a1e1f633c3ef7684f2429ce5c89f97229b23e028a5472e834951ea8f4545688
pubmedqa,142,bm25,5,0.6,1.0,0.6,candidate:sha256:326ad3331bdda98ab9475010761c18337edb360cf5dbbd711aa6d80ceb6bba91
pubmedqa,143,bm25,4,0.5,1.0,0.5,candidate:sha256:50aca7667f6a5f11f613095b5661c2228ac8bf7604c44f31137ecdd31fbd02ed
pubmedqa,144,bm25,3,0.3333333333333333,1.0,1.0,candidate:sha256:e009023bc205d8c640d91f6840b129604e15179025f4cfdc32d1beeb63a83076
pubmedqa,145,bm25,3,0.3333333333333333,1.0,0.3333333333333333,candidate:sha256:46022600b49d3b977814b13226a3ec77efeacdc41e6f8c87a9548daea2f4a3ea
pubmedqa,146,bm25,3,0.6666666666666666,0.5,0.6666666666666666,candidate:sha256:52e4c73cbee28bf86a26de72bc8a1819ebca668d96be601c1eecadedd6184533
pubmedqa,147,bm25,3,1.0,1.0,1.0,candidate:sha256:f57e8bf77a009b4985cbb01c9c269756734e64cb0e83b766c53fc10063a25f47
pubmedqa,148,bm25,3,1.0,1.0,1.0,candidate:sha256:ddf6a4873f62305394abbd400b73dfce9ed5726c044c84d201536fbc18bf0414
pubmedqa,149,bm25,3,0.6666666666666666,1.0,0.6666666666666666,candidate:sha256:734d5c282436fd28d25da805897766f6453ec8a7d9352a0158d8f717e76e48d8
pubmedqa,15,bm25,4,0.75,1.0,1.0,candidate:sha256:1dc6b8b9caf250642503117facf5848fd88f0f710ec6e2c600a224ed365fa640
