retriever,condition,family,n_questions,n_errors,avg_recall_at_5,avg_mrr,avg_retrieval_diversity,avg_faithfulness_nli,recall_delta_vs_baseline,mrr_delta_vs_baseline,diversity_delta_vs_baseline,diversity_gained_per_recall_lost,efficiency_ranking_eligible,rank_by_recall_within_retriever,rank_by_efficiency_within_retriever,is_best_recall_for_retriever,is_most_efficient_diversification_for_retriever,has_generation,generator_model,generator_temperature,generator_max_tokens,top_k,candidate_pool_size,corpus_size,seed,exact_match,f1,rouge_l
bm25,mmr_1.0,MMR,500,0,0.667,0.8589,0.6454,0.46,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,none,MMR,500,0,0.667,0.8589,0.6454,0.4575,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,mmr_0.75,MMR,500,0,0.657,0.8602,0.6575,0.4607,-0.01,0.0013,0.0121,1.21,False,3,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,kmeans_k2,Clustering,500,0,0.647,0.6878,0.6627,,-0.02,-0.1711,0.0173,0.865,False,4,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,mmr_0.5,MMR,500,0,0.631,0.861,0.679,0.4229,-0.036,0.0021,0.0336,0.9333,True,5,2.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,dpp_map,DPP,500,0,0.63,0.8627,0.6879,0.4493,-0.037,0.0038,0.0425,1.1486,True,6,1.0,False,True,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,agglo_k3,Clustering,500,0,0.605,0.581,0.6709,,-0.062,-0.2779,0.0255,0.4113,False,7,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,mmr_0.25,MMR,500,0,0.554,0.8597,0.7147,0.3917,-0.113,0.0008,0.0693,0.6133,True,8,3.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,kmeans_k3,Clustering,500,0,0.553,0.4625,0.6741,0.3698,-0.114,-0.3964,0.0287,0.2518,False,9,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,kmeans_k5,Clustering,500,0,0.516,0.3426,0.6894,,-0.151,-0.5163,0.044,0.2914,True,10,6.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,agglo_k5,Clustering,500,0,0.505,0.4522,0.6951,,-0.162,-0.4067,0.0497,0.3068,True,11,5.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,mmr_0.0,MMR,500,0,0.443,0.8399,0.7392,0.3555,-0.224,-0.019,0.0938,0.4187,True,12,4.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,dpp_seed2,DPP,500,0,0.366,0.3659,0.6764,,-0.301,-0.493,0.031,0.103,True,13,7.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,dpp_seed3,DPP,500,0,0.285,0.4681,0.6675,,-0.382,-0.3908,0.0221,0.0579,False,14,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
bm25,dpp_seed1,DPP,500,0,0.166,0.1464,0.6784,,-0.501,-0.7125,0.033,0.0659,True,15,8.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,mmr_1.0,MMR,500,0,0.861,0.9861,0.6353,0.5908,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,none,MMR,500,0,0.861,0.9861,0.6353,0.5939,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,mmr_0.75,MMR,500,0,0.857,0.9862,0.6483,0.5681,-0.004,0.0001,0.013,3.25,False,3,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,kmeans_k2,Clustering,500,0,0.845,0.7997,0.6494,,-0.016,-0.1864,0.0141,0.8812,False,4,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,mmr_0.5,MMR,500,0,0.831,0.9856,0.6744,0.5892,-0.03,-0.0005,0.0391,1.3033,True,5,2.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,dpp_map,DPP,500,0,0.829,0.9857,0.6847,0.5931,-0.032,-0.0004,0.0494,1.5437,True,6,1.0,False,True,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,agglo_k3,Clustering,500,0,0.809,0.7248,0.6655,,-0.052,-0.2613,0.0302,0.5808,True,7,3.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,mmr_0.25,MMR,500,0,0.719,0.9857,0.7156,0.5458,-0.142,-0.0004,0.0803,0.5655,True,8,4.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,kmeans_k3,Clustering,500,0,0.691,0.5142,0.6651,0.5073,-0.17,-0.4719,0.0298,0.1753,False,9,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,agglo_k5,Clustering,500,0,0.675,0.562,0.6916,,-0.186,-0.4241,0.0563,0.3027,True,10,5.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,kmeans_k5,Clustering,500,0,0.667,0.387,0.6804,,-0.194,-0.5991,0.0451,0.2325,True,11,7.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,mmr_0.0,MMR,500,0,0.515,0.982,0.736,0.4276,-0.346,-0.0041,0.1007,0.291,True,12,6.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
