question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,kmeans_k2,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13379, 4536, 7304, 10832, 18062]",1.0,1.0,0.5360052585601807,0.0,,,0.0,0.0,0.0,OK,
1,1,colbertv2,kmeans_k2,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2219, 4369, 2917, 9006, 14075]",1.0,1.0,0.6388384103775024,0.0,,,0.0,0.0,0.0,OK,
2,2,colbertv2,kmeans_k2,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[5308, 20848, 11616, 8822, 7713]",0.5,0.5,0.5820533633232117,0.0,,,0.0,0.0,0.0,OK,
3,3,colbertv2,kmeans_k2,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[20064, 12797, 4731, 13775, 10506]",0.5,0.5,0.652957022190094,0.0,,,0.0,0.0,0.0,OK,
4,4,colbertv2,kmeans_k2,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[6272, 17083, 23342, 21400, 3715]",0.5,0.5,0.6118420362472534,0.0,,,0.0,0.0,0.0,OK,
5,5,colbertv2,kmeans_k2,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 24397, 919, 23380, 2876]",0.5,1.0,0.6989936232566833,0.0,,,0.0,0.0,0.0,OK,
6,6,colbertv2,kmeans_k2,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 3462, 4824, 16695, 13038]",1.0,1.0,0.5876686573028564,0.0,,,0.0,0.0,0.0,OK,
7,7,colbertv2,kmeans_k2,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 25852, 24161, 20766, 11005]",1.0,1.0,0.6244645118713379,0.0,,,0.0,0.0,0.0,OK,
8,8,colbertv2,kmeans_k2,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[25825, 16868, 1667, 1698, 22390]",1.0,0.5,0.620082676410675,0.0,,,0.0,0.0,0.0,OK,
9,9,colbertv2,kmeans_k2,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 21750, 25985, 13962, 1873]",1.0,1.0,0.6932606101036072,0.0,,,0.0,0.0,0.0,OK,
