question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,dpp_seed2,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[18062, 10832, 4855, 3062, 1155]",0.0,0.0,0.6702802777290344,0.0,,,0.0,0.0,0.0,OK,
1,1,colbertv2,dpp_seed2,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[9006, 24239, 17414, 2219, 98]",0.5,0.25,0.6430898308753967,0.0,,,0.0,0.0,0.0,OK,
2,2,colbertv2,dpp_seed2,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[5295, 7713, 13521, 8822, 11616]",0.0,0.0,0.6470635533332825,0.0,,,0.0,0.0,0.0,OK,
3,3,colbertv2,dpp_seed2,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[13775, 5755, 12536, 20689, 4731]",0.0,0.0,0.6756092309951782,0.0,,,0.0,0.0,0.0,OK,
4,4,colbertv2,dpp_seed2,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[3715, 5282, 4431, 17083, 12926]",0.5,0.25,0.6242666840553284,0.0,,,0.0,0.0,0.0,OK,
5,5,colbertv2,dpp_seed2,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[24397, 5080, 919, 22877, 2876]",0.0,0.0,0.698611855506897,0.0,,,0.0,0.0,0.0,OK,
6,6,colbertv2,dpp_seed2,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[10701, 22257, 6577, 2753, 13665]",0.5,0.25,0.49466991424560547,0.0,,,0.0,0.0,0.0,OK,
7,7,colbertv2,dpp_seed2,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[25852, 14720, 15046, 24161, 6664]",0.5,0.25,0.6810415983200073,0.0,,,0.0,0.0,0.0,OK,
8,8,colbertv2,dpp_seed2,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[11589, 24661, 25825, 16868, 1667]",0.5,0.25,0.6511189341545105,0.0,,,0.0,0.0,0.0,OK,
9,9,colbertv2,dpp_seed2,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[21750, 19603, 1805, 20278, 4811]",0.5,1.0,0.712489128112793,0.0,,,0.0,0.0,0.0,OK,
