question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,agglo_k3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[4600, 7304, 672, 22703, 13379]",1.0,0.5,0.5922514796257019,0.0,,,0.0,0.0,0.0,OK,
1,1,bm25,agglo_k3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2219, 2917, 9549, 25875, 1905]",1.0,1.0,0.6644018888473511,0.0,,,0.0,0.0,0.0,OK,
2,2,bm25,agglo_k3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 4177, 10723, 3378, 4179]",0.5,1.0,0.6885998845100403,0.0,,,0.0,0.0,0.0,OK,
3,3,bm25,agglo_k3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 20211, 11318, 11513, 24261]",0.5,1.0,0.6202465295791626,0.0,,,0.0,0.0,0.0,OK,
4,4,bm25,agglo_k3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[13664, 12675, 17083, 2050, 4164]",0.5,0.3333333333333333,0.6281089782714844,0.0,,,0.0,0.0,0.0,OK,
5,5,bm25,agglo_k3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[24706, 15673, 11166, 17790, 13960]",0.5,0.5,0.7115178108215332,0.0,,,0.0,0.0,0.0,OK,
6,6,bm25,agglo_k3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[18966, 4824, 13205, 2826, 2753]",1.0,0.5,0.6619555950164795,0.0,,,0.0,0.0,0.0,OK,
7,7,bm25,agglo_k3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24161, 6664, 6198, 10574, 17152]",0.5,1.0,0.6381405591964722,0.0,,,0.0,0.0,0.0,OK,
8,8,bm25,agglo_k3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[1662, 5025, 16868, 23652, 20568]",0.5,0.3333333333333333,0.5769957304000854,0.0,,,0.0,0.0,0.0,OK,
9,9,bm25,agglo_k3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[18645, 4902, 5508, 25052, 21750]",1.0,0.5,0.7222208976745605,0.0,,,0.0,0.0,0.0,OK,
10,10,bm25,agglo_k3,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[19993, 21394, 13608, 21249, 23926]",0.5,0.2,0.6881846189498901,0.0,,,0.0,0.0,0.0,OK,
11,11,bm25,agglo_k3,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[6892, 12748, 24906, 13551, 100]",0.5,0.5,0.7286876440048218,0.0,,,0.0,0.0,0.0,OK,
12,12,bm25,agglo_k3,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24354, 15486, 24876, 4340, 15643]",0.5,0.3333333333333333,0.6581774950027466,0.0,,,0.0,0.0,0.0,OK,
13,13,bm25,agglo_k3,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[23227, 9449, 24442, 10387, 4724]",0.5,1.0,0.6413555145263672,0.0,,,0.0,0.0,0.0,OK,
14,14,bm25,agglo_k3,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[6561, 21463, 13264, 17824, 648]",0.5,0.3333333333333333,0.6274535655975342,0.0,,,0.0,0.0,0.0,OK,
15,15,bm25,agglo_k3,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[24608, 15926, 23682, 20787, 25399]",0.0,0.0,0.6289196610450745,0.0,,,0.0,0.0,0.0,OK,
16,16,bm25,agglo_k3,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[16453, 19341, 16699, 780, 15389]",1.0,0.5,0.6574004888534546,0.0,,,0.0,0.0,0.0,OK,
17,17,bm25,agglo_k3,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[11498, 15007, 16015, 25216, 142]",0.5,0.25,0.5657211542129517,0.0,,,0.0,0.0,0.0,OK,
18,18,bm25,agglo_k3,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[1058, 8612, 8477, 17942, 7716]",1.0,0.5,0.6411089897155762,0.0,,,0.0,0.0,0.0,OK,
19,19,bm25,agglo_k3,"Who wrote the music for Billy Elliot the Musical and had at least one song on the ""Billboard"" Hot 100 for 31 consecutive years?",5a74629255429929fddd8402,"[10804, 21082]","[12438, 10765, 10804, 24687, 21082]",1.0,0.3333333333333333,0.7483752369880676,0.0,,,0.0,0.0,0.0,OK,
20,20,bm25,agglo_k3,Which American main title designer designed sequences for the founder of the Sundance Film Festival?,5a7471f655429979e2882955,"[4890, 23681]","[12773, 559, 23681, 17751, 8683]",0.5,0.3333333333333333,0.740890622138977,0.0,,,0.0,0.0,0.0,OK,
21,21,bm25,agglo_k3,What is served shaken with ice and should not be mistaken with the name Margarita?,5a74be7a55429929fddd84e4,"[7079, 4039]","[24829, 4039, 7079, 11853, 1128]",1.0,0.5,0.6252957582473755,0.0,,,0.0,0.0,0.0,OK,
22,22,bm25,agglo_k3,What product by FLEXcon represents data by geometric patterns?,5a74c3f455429979e2882a0a,"[7688, 23564]","[23564, 13638, 7688, 23778, 9603]",1.0,1.0,0.7196420431137085,0.0,,,0.0,0.0,0.0,OK,
23,23,bm25,agglo_k3,Connetquot High School  is a public high school in what city in New York?,5a7506f455429916b0164240,"[2573, 1640]","[7884, 2573, 7604, 4677, 7233]",0.5,0.5,0.5094888806343079,0.0,,,0.0,0.0,0.0,OK,
24,24,bm25,agglo_k3,What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,5a7526945542993748c897d2,"[21889, 8074]","[8776, 21889, 24676, 1159, 21526]",0.5,0.5,0.7758801579475403,0.0,,,0.0,0.0,0.0,OK,
25,25,bm25,agglo_k3,"What song from the fourth studio album made by The Who reached No.4 on the UK charts and No. 19 o nthe U.S. ""Billboard"" Hot 100?",5a753c8c55429916b01642ab,"[5767, 3370]","[10963, 12438, 5767, 20981, 10299]",0.5,0.3333333333333333,0.6746023893356323,0.0,,,0.0,0.0,0.0,OK,
26,26,bm25,agglo_k3,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",5a7542425542996c70cfaecc,"[7681, 18798]","[7681, 19222, 11096, 18240, 22524]",0.5,1.0,0.6099688410758972,0.0,,,0.0,0.0,0.0,OK,
27,27,bm25,agglo_k3,"Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist, playwright, theatre director, and poet?",5a7545605542993748c89807,"[15201, 10071]","[10071, 15201, 14997, 9836, 2101]",1.0,1.0,0.6574158072471619,0.0,,,0.0,0.0,0.0,OK,
28,28,bm25,agglo_k3,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",5a7555215542996c70cfaee1,"[9446, 2847]","[1018, 9446, 17785, 23161, 8105]",0.5,0.5,0.673056960105896,0.0,,,0.0,0.0,0.0,OK,
29,29,bm25,agglo_k3,"Which ""Roseanne"" star is in Scream 2?",5a7557d75542992d0ec05f68,"[23512, 11186]","[18651, 7152, 15617, 3003, 21369]",0.0,0.0,0.6736947298049927,0.0,,,0.0,0.0,0.0,OK,
30,30,bm25,agglo_k3,What show was Elena Shaddow in that was written by a relative of Richard Rodgers?,5a755f0a5542996c70cfaee7,"[25709, 9440]","[4116, 25146, 7551, 12596, 10192]",0.0,0.0,0.7304547429084778,0.0,,,0.0,0.0,0.0,OK,
31,31,bm25,agglo_k3,"Which ""Mirrors"" actress made her film debut in the 2005 comedy film ""Hitch""?",5a7571095542992d0ec05f97,"[5780, 24053]","[11553, 24053, 19006, 7175, 6157]",0.5,0.5,0.7357524633407593,0.0,,,0.0,0.0,0.0,OK,
32,32,bm25,agglo_k3,Who was born first Mahbub ul Haq or Ibn Arabi?,5a7574e25542996c70cfaf01,"[24250, 5838]","[24250, 11129, 15551, 8514, 19944]",0.5,1.0,0.658588707447052,0.0,,,0.0,0.0,0.0,OK,
33,33,bm25,agglo_k3,Andrea Camplone is a football coach in which 22-team competition?,5a75d8dc5542992db94736f0,"[18063, 21614]","[18063, 9399, 6074, 22809, 7676]",0.5,1.0,0.6326363682746887,0.0,,,0.0,0.0,0.0,OK,
34,34,bm25,agglo_k3,"The Declaration of Montreal was the founding document of which world event, lasting from July 26-August 5, 2006?",5a75da6d5542992db94736fa,"[23670, 20385]","[12683, 23670, 15060, 7147, 22438]",0.5,0.5,0.6733116507530212,0.0,,,0.0,0.0,0.0,OK,
35,35,bm25,agglo_k3,"Who is younger, Pelle Almqvist or Steve Winwood?",5a75f0bf5542994ccc91866b,"[4900, 6621]","[6621, 5474, 21188, 16055, 16960]",0.5,1.0,0.7004044055938721,0.0,,,0.0,0.0,0.0,OK,
36,36,bm25,agglo_k3,"What actress and and writer starred with Jennifer Saunders in bothe ""The Supergrass"" and ""French and Saunders""?",5a7602d8554299109176e5fb,"[10750, 12015]","[20210, 12015, 4532, 25392, 17390]",0.5,0.5,0.6833329200744629,0.0,,,0.0,0.0,0.0,OK,
37,37,bm25,agglo_k3,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,5a760ab65542994ccc918697,"[7215, 5425]","[6299, 7215, 8582, 9273, 5425]",1.0,0.5,0.7162601947784424,0.0,,,0.0,0.0,0.0,OK,
38,38,bm25,agglo_k3,Was the famous opera comique that was based on a Prosper Merimee novella a comedy or a tragedy?,5a7615fb5542992db9473727,"[1460, 15091]","[18099, 3863, 15091, 17181, 20292]",0.5,0.3333333333333333,0.6829227805137634,0.0,,,0.0,0.0,0.0,OK,
39,39,bm25,agglo_k3,Who served as the head coach for the Grizzlies in the 2004-05 season and as head coach for the Brooklyn Nets?,5a7618d85542994ccc9186cf,"[11963, 14818]","[14818, 14527, 16422, 9032, 15082]",0.5,1.0,0.6478124856948853,0.0,,,0.0,0.0,0.0,OK,
40,40,bm25,agglo_k3,"Which album did the band Kraftwerk release after their successful album which reached number 25 on the US ""Billboard"" Hot 100 chart?",5a7621bb554299109176e650,"[23154, 4227]","[12438, 10765, 4227, 21952, 25503]",0.5,0.3333333333333333,0.7235337495803833,0.0,,,0.0,0.0,0.0,OK,
41,41,bm25,agglo_k3,When was the plaintiff in the 1892 Barbed Wire Patent Case born?,5a7624b85542992db947372c,"[16274, 24579]","[16274, 9402, 8926, 19799, 25481]",0.5,1.0,0.6709005832672119,0.0,,,0.0,0.0,0.0,OK,
42,42,bm25,agglo_k3,"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",5a7633ad5542992db9473741,"[25986, 8549]","[4204, 14133, 25986, 4483, 9877]",0.5,0.3333333333333333,0.5537217855453491,0.0,,,0.0,0.0,0.0,OK,
43,43,bm25,agglo_k3,"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",5a7633ff5542994ccc918712,"[23901, 5723]","[10977, 5472, 5723, 5293, 1584]",0.5,0.3333333333333333,0.6746495962142944,0.0,,,0.0,0.0,0.0,OK,
44,44,bm25,agglo_k3,Who was the wife of the president when William Bainbridge started his career?,5a7636fb55429976ec32bd79,"[2587, 202]","[11603, 23004, 2587, 4852, 20863]",0.5,0.3333333333333333,0.7135534286499023,0.0,,,0.0,0.0,0.0,OK,
45,45,bm25,agglo_k3,"Which university has more schools, Ateneo de Davao University or University of Rochester?",5a7651825542992d0ec060a3,"[163, 12131]","[15919, 163, 6131, 3757, 12131]",1.0,0.5,0.6922751665115356,0.0,,,0.0,0.0,0.0,OK,
46,46,bm25,agglo_k3,Who founded the collective which released the album Messe I.X-VI.X?,5a7662745542992db9473786,"[16502, 23431]","[16502, 25005, 16201, 13989, 20710]",0.5,1.0,0.6788264513015747,0.0,,,0.0,0.0,0.0,OK,
47,47,bm25,agglo_k3,When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,5a76db3555429972597f13e7,"[16835, 6646]","[6646, 17262, 18779, 4898, 6971]",0.5,1.0,0.7362862825393677,0.0,,,0.0,0.0,0.0,OK,
48,48,bm25,agglo_k3,"Who is older, Ivan Foster or Ian Paisley?",5a77253455429972597f1449,"[18224, 25837]","[12778, 3492, 18224, 18473, 17215]",0.5,0.3333333333333333,0.6237601041793823,0.0,,,0.0,0.0,0.0,OK,
49,49,bm25,agglo_k3,Which software application was originally made for the company that acquired RadioShack in 1963?,5a77322055429972597f1494,"[645, 11956]","[15918, 11956, 3506, 17269, 645]",1.0,0.5,0.6930587887763977,0.0,,,0.0,0.0,0.0,OK,
