question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,contriever,dpp_seed1,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[22717, 4536, 25407, 20816, 5082]",0.0,0.0,0.6372581720352173,0.0,,,0.0,0.0,0.0,OK,
1,1,contriever,dpp_seed1,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[13598, 4186, 5546, 11541, 25565]",0.0,0.0,0.576978325843811,0.0,,,0.0,0.0,0.0,OK,
2,2,contriever,dpp_seed1,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[11883, 5958, 15070, 4491, 14432]",0.5,0.5,0.5617563724517822,0.0,,,0.0,0.0,0.0,OK,
3,3,contriever,dpp_seed1,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[7636, 12149, 25614, 12143, 13827]",0.0,0.0,0.6094715595245361,0.0,,,0.0,0.0,0.0,OK,
4,4,contriever,dpp_seed1,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 19456, 9803, 21576, 20212]",0.5,1.0,0.6116365790367126,0.0,,,0.0,0.0,0.0,OK,
5,5,contriever,dpp_seed1,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[11904, 20640, 2013, 24397, 4613]",0.0,0.0,0.591446042060852,0.0,,,0.0,0.0,0.0,OK,
6,6,contriever,dpp_seed1,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[6757, 13665, 21624, 20352, 2753]",0.5,0.2,0.5164969563484192,0.0,,,0.0,0.0,0.0,OK,
7,7,contriever,dpp_seed1,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[13918, 20577, 7584, 3823, 5293]",0.0,0.0,0.6296459436416626,0.0,,,0.0,0.0,0.0,OK,
8,8,contriever,dpp_seed1,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[1662, 16868, 3633, 14432, 1697]",0.5,0.5,0.6176397204399109,0.0,,,0.0,0.0,0.0,OK,
9,9,contriever,dpp_seed1,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[20652, 6176, 6748, 24380, 14835]",0.0,0.0,0.584289014339447,0.0,,,0.0,0.0,0.0,OK,
10,10,contriever,dpp_seed1,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[20756, 24665, 20950, 17624, 25619]",0.0,0.0,0.6867905855178833,0.0,,,0.0,0.0,0.0,OK,
11,11,contriever,dpp_seed1,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[2585, 8940, 7041, 13791, 21877]",0.0,0.0,0.6377900242805481,0.0,,,0.0,0.0,0.0,OK,
12,12,contriever,dpp_seed1,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[11092, 13529, 1071, 25689, 22227]",0.0,0.0,0.6722906231880188,0.0,,,0.0,0.0,0.0,OK,
13,13,contriever,dpp_seed1,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[5000, 1938, 25166, 19372, 11804]",0.0,0.0,0.6329476237297058,0.0,,,0.0,0.0,0.0,OK,
14,14,contriever,dpp_seed1,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[252, 18866, 19682, 24024, 7163]",0.0,0.0,0.6434980630874634,0.0,,,0.0,0.0,0.0,OK,
15,15,contriever,dpp_seed1,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[21968, 13273, 16716, 20108, 18259]",0.0,0.0,0.6413636207580566,0.0,,,0.0,0.0,0.0,OK,
16,16,contriever,dpp_seed1,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[10112, 13090, 20532, 23691, 23267]",0.0,0.0,0.6845225691795349,0.0,,,0.0,0.0,0.0,OK,
17,17,contriever,dpp_seed1,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[8842, 4244, 11301, 25863, 13788]",0.5,0.5,0.6023615002632141,0.0,,,0.0,0.0,0.0,OK,
18,18,contriever,dpp_seed1,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[2810, 9859, 23298, 4577, 12783]",0.0,0.0,0.6537540555000305,0.0,,,0.0,0.0,0.0,OK,
19,19,contriever,dpp_seed1,"Who wrote the music for Billy Elliot the Musical and had at least one song on the ""Billboard"" Hot 100 for 31 consecutive years?",5a74629255429929fddd8402,"[10804, 21082]","[3468, 5422, 2585, 15903, 12783]",0.0,0.0,0.5371216535568237,0.0,,,0.0,0.0,0.0,OK,
20,20,contriever,dpp_seed1,Which American main title designer designed sequences for the founder of the Sundance Film Festival?,5a7471f655429979e2882955,"[4890, 23681]","[676, 3353, 4400, 5765, 15111]",0.0,0.0,0.6047917604446411,0.0,,,0.0,0.0,0.0,OK,
21,21,contriever,dpp_seed1,What is served shaken with ice and should not be mistaken with the name Margarita?,5a74be7a55429929fddd84e4,"[7079, 4039]","[22897, 18865, 5000, 2706, 25675]",0.0,0.0,0.611298143863678,0.0,,,0.0,0.0,0.0,OK,
22,22,contriever,dpp_seed1,What product by FLEXcon represents data by geometric patterns?,5a74c3f455429979e2882a0a,"[7688, 23564]","[12854, 8066, 11798, 8969, 23959]",0.0,0.0,0.6792415380477905,0.0,,,0.0,0.0,0.0,OK,
23,23,contriever,dpp_seed1,Connetquot High School  is a public high school in what city in New York?,5a7506f455429916b0164240,"[2573, 1640]","[2268, 6292, 1589, 7308, 13330]",0.0,0.0,0.6083742380142212,0.0,,,0.0,0.0,0.0,OK,
24,24,contriever,dpp_seed1,What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,5a7526945542993748c897d2,"[21889, 8074]","[13472, 9341, 7444, 7261, 17665]",0.0,0.0,0.7178753018379211,0.0,,,0.0,0.0,0.0,OK,
25,25,contriever,dpp_seed1,"What song from the fourth studio album made by The Who reached No.4 on the UK charts and No. 19 o nthe U.S. ""Billboard"" Hot 100?",5a753c8c55429916b01642ab,"[5767, 3370]","[21035, 12783, 7, 13726, 14015]",0.0,0.0,0.587751030921936,0.0,,,0.0,0.0,0.0,OK,
26,26,contriever,dpp_seed1,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",5a7542425542996c70cfaecc,"[7681, 18798]","[19078, 8083, 15515, 6958, 13790]",0.0,0.0,0.6340267062187195,0.0,,,0.0,0.0,0.0,OK,
27,27,contriever,dpp_seed1,"Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist, playwright, theatre director, and poet?",5a7545605542993748c89807,"[15201, 10071]","[10346, 12140, 7772, 9836, 13762]",0.0,0.0,0.5705824494361877,0.0,,,0.0,0.0,0.0,OK,
28,28,contriever,dpp_seed1,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",5a7555215542996c70cfaee1,"[9446, 2847]","[10523, 3172, 11322, 19186, 25567]",0.0,0.0,0.600968062877655,0.0,,,0.0,0.0,0.0,OK,
29,29,contriever,dpp_seed1,"Which ""Roseanne"" star is in Scream 2?",5a7557d75542992d0ec05f68,"[23512, 11186]","[14835, 11766, 11256, 6562, 9465]",0.0,0.0,0.6935451030731201,0.0,,,0.0,0.0,0.0,OK,
30,30,contriever,dpp_seed1,What show was Elena Shaddow in that was written by a relative of Richard Rodgers?,5a755f0a5542996c70cfaee7,"[25709, 9440]","[7354, 2435, 13380, 18510, 2585]",0.0,0.0,0.6401976346969604,0.0,,,0.0,0.0,0.0,OK,
31,31,contriever,dpp_seed1,"Which ""Mirrors"" actress made her film debut in the 2005 comedy film ""Hitch""?",5a7571095542992d0ec05f97,"[5780, 24053]","[6047, 7481, 19713, 19337, 3245]",0.0,0.0,0.6287161111831665,0.0,,,0.0,0.0,0.0,OK,
32,32,contriever,dpp_seed1,Who was born first Mahbub ul Haq or Ibn Arabi?,5a7574e25542996c70cfaf01,"[24250, 5838]","[8514, 15321, 17197, 18016, 17879]",0.0,0.0,0.6039465665817261,0.0,,,0.0,0.0,0.0,OK,
33,33,contriever,dpp_seed1,Andrea Camplone is a football coach in which 22-team competition?,5a75d8dc5542992db94736f0,"[18063, 21614]","[11429, 17951, 16525, 4879, 20122]",0.0,0.0,0.6566985845565796,0.0,,,0.0,0.0,0.0,OK,
34,34,contriever,dpp_seed1,"The Declaration of Montreal was the founding document of which world event, lasting from July 26-August 5, 2006?",5a75da6d5542992db94736fa,"[23670, 20385]","[13687, 20385, 22438, 11669, 4597]",0.5,0.5,0.5847371816635132,0.0,,,0.0,0.0,0.0,OK,
35,35,contriever,dpp_seed1,"Who is younger, Pelle Almqvist or Steve Winwood?",5a75f0bf5542994ccc91866b,"[4900, 6621]","[2971, 4900, 17559, 5412, 9039]",0.5,0.5,0.6627771258354187,0.0,,,0.0,0.0,0.0,OK,
36,36,contriever,dpp_seed1,"What actress and and writer starred with Jennifer Saunders in bothe ""The Supergrass"" and ""French and Saunders""?",5a7602d8554299109176e5fb,"[10750, 12015]","[10921, 11131, 11444, 5013, 10750]",0.5,0.2,0.6550837755203247,0.0,,,0.0,0.0,0.0,OK,
37,37,contriever,dpp_seed1,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,5a760ab65542994ccc918697,"[7215, 5425]","[12284, 16472, 19969, 16710, 11338]",0.0,0.0,0.6478754281997681,0.0,,,0.0,0.0,0.0,OK,
38,38,contriever,dpp_seed1,Was the famous opera comique that was based on a Prosper Merimee novella a comedy or a tragedy?,5a7615fb5542992db9473727,"[1460, 15091]","[9560, 11057, 9049, 13629, 21235]",0.0,0.0,0.649711549282074,0.0,,,0.0,0.0,0.0,OK,
39,39,contriever,dpp_seed1,Who served as the head coach for the Grizzlies in the 2004-05 season and as head coach for the Brooklyn Nets?,5a7618d85542994ccc9186cf,"[11963, 14818]","[20678, 20122, 6739, 25279, 1498]",0.0,0.0,0.6563318967819214,0.0,,,0.0,0.0,0.0,OK,
40,40,contriever,dpp_seed1,"Which album did the band Kraftwerk release after their successful album which reached number 25 on the US ""Billboard"" Hot 100 chart?",5a7621bb554299109176e650,"[23154, 4227]","[12783, 23154, 25269, 6253, 723]",0.5,0.5,0.6001526713371277,0.0,,,0.0,0.0,0.0,OK,
41,41,contriever,dpp_seed1,When was the plaintiff in the 1892 Barbed Wire Patent Case born?,5a7624b85542992db947372c,"[16274, 24579]","[7413, 7308, 24685, 20166, 15064]",0.0,0.0,0.5955597162246704,0.0,,,0.0,0.0,0.0,OK,
42,42,contriever,dpp_seed1,"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",5a7633ad5542992db9473741,"[25986, 8549]","[24872, 25986, 4093, 14149, 467]",0.5,0.5,0.5617976188659668,0.0,,,0.0,0.0,0.0,OK,
43,43,contriever,dpp_seed1,"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",5a7633ff5542994ccc918712,"[23901, 5723]","[16575, 24319, 16402, 6047, 15450]",0.0,0.0,0.6932922601699829,0.0,,,0.0,0.0,0.0,OK,
44,44,contriever,dpp_seed1,Who was the wife of the president when William Bainbridge started his career?,5a7636fb55429976ec32bd79,"[2587, 202]","[2859, 2587, 6982, 6664, 18954]",0.5,0.5,0.661293625831604,0.0,,,0.0,0.0,0.0,OK,
45,45,contriever,dpp_seed1,"Which university has more schools, Ateneo de Davao University or University of Rochester?",5a7651825542992d0ec060a3,"[163, 12131]","[976, 163, 20695, 5000, 15772]",0.5,0.5,0.6434237957000732,0.0,,,0.0,0.0,0.0,OK,
46,46,contriever,dpp_seed1,Who founded the collective which released the album Messe I.X-VI.X?,5a7662745542992db9473786,"[16502, 23431]","[8285, 6800, 16839, 4805, 2919]",0.0,0.0,0.623056173324585,0.0,,,0.0,0.0,0.0,OK,
47,47,contriever,dpp_seed1,When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,5a76db3555429972597f13e7,"[16835, 6646]","[9334, 16835, 10329, 7830, 7068]",0.5,0.5,0.6655217409133911,0.0,,,0.0,0.0,0.0,OK,
48,48,contriever,dpp_seed1,"Who is older, Ivan Foster or Ian Paisley?",5a77253455429972597f1449,"[18224, 25837]","[7180, 24639, 23743, 25757, 12140]",0.0,0.0,0.665493905544281,0.0,,,0.0,0.0,0.0,OK,
49,49,contriever,dpp_seed1,Which software application was originally made for the company that acquired RadioShack in 1963?,5a77322055429972597f1494,"[645, 11956]","[3725, 19823, 24568, 8857, 23998]",0.0,0.0,0.6590331792831421,0.0,,,0.0,0.0,0.0,OK,
50,50,contriever,dpp_seed1,"Who won Miss America 2013, which was the 86th Miss America pageant held at the PH Live in Las Vegas?",5a7735f55542994aec3b7226,"[15216, 13103]","[17938, 21526, 16141, 24289, 19864]",0.0,0.0,0.5783646702766418,0.0,,,0.0,0.0,0.0,OK,
51,51,contriever,dpp_seed1,Who starred in Umm-e-Kulsoom whose mother was Afshan Qureshi?,5a77414155429972597f14d7,"[19527, 4872]","[20411, 4872, 17197, 19741, 19821]",0.5,0.5,0.5842070579528809,0.0,,,0.0,0.0,0.0,OK,
52,52,contriever,dpp_seed1,"What actress is known for a starring role in Robert Bresson's ""Pickpocket"" and has also been directed by Just Jaeckin, a former photographer?",5a77626b5542993569682d77,"[12786, 5419]","[25166, 11782, 25565, 20959, 25362]",0.0,0.0,0.60877525806427,0.0,,,0.0,0.0,0.0,OK,
53,53,contriever,dpp_seed1,What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,5a776b82554299373536026f,"[2849, 13370]","[22577, 8346, 17270, 21439, 13370]",0.5,0.2,0.595781147480011,0.0,,,0.0,0.0,0.0,OK,
54,54,contriever,dpp_seed1,"Who was born first, Susan Oliver or W. S. Van Dyke?",5a778b345542992a6e59decf,"[4583, 24476]","[20335, 11055, 712, 13818, 16486]",0.0,0.0,0.6770721673965454,0.0,,,0.0,0.0,0.0,OK,
55,55,contriever,dpp_seed1,In what year were the European Athletics Junior Championships held in the capital of Slovenia?,5a779fd95542997042120ab5,"[10126, 17449]","[14801, 23275, 17449, 23943, 15864]",0.5,0.3333333333333333,0.6227034330368042,0.0,,,0.0,0.0,0.0,OK,
56,56,contriever,dpp_seed1,What year did Christopher Nolan's magic-themed drama come out?,5a77a41a5542997042120ab9,"[11314, 10290]","[226, 8591, 20680, 2688, 8361]",0.0,0.0,0.7075545191764832,0.0,,,0.0,0.0,0.0,OK,
57,57,contriever,dpp_seed1,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",5a77a65b5542992a6e59df57,"[22947, 22198]","[21694, 9859, 20627, 7, 6840]",0.0,0.0,0.6355680227279663,0.0,,,0.0,0.0,0.0,OK,
58,58,contriever,dpp_seed1,What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,5a77a9df55429967ab10521c,"[2490, 23359]","[7681, 25795, 8895, 15348, 4163]",0.0,0.0,0.6669854521751404,0.0,,,0.0,0.0,0.0,OK,
59,59,contriever,dpp_seed1,"What is the species of animal which the town of Antelope, Kansas was named after?",5a77c09555429967ab105262,"[10221, 5206]","[18601, 4935, 25760, 25185, 4448]",0.0,0.0,0.6832659244537354,0.0,,,0.0,0.0,0.0,OK,
60,60,contriever,dpp_seed1,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",5a77c1505542997042120b1b,"[4167, 1573]","[12783, 7, 8034, 8831, 6840]",0.0,0.0,0.542889416217804,0.0,,,0.0,0.0,0.0,OK,
61,61,contriever,dpp_seed1,"Which band formed in England, Of Montreal or Vib Gyor?",5a77c74155429967ab105291,"[23850, 24150]","[6497, 25354, 1840, 12810, 2641]",0.0,0.0,0.5493122339248657,0.0,,,0.0,0.0,0.0,OK,
62,62,contriever,dpp_seed1,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",5a77cb5e55429967ab1052a7,"[18801, 23611]","[15077, 9356, 22517, 2197, 16542]",0.0,0.0,0.5822790265083313,0.0,,,0.0,0.0,0.0,OK,
63,63,contriever,dpp_seed1,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",5a77ddb855429967ab1052d8,"[15195, 25141]","[23298, 25141, 3522, 3821, 15792]",0.5,0.5,0.6359043717384338,0.0,,,0.0,0.0,0.0,OK,
64,64,contriever,dpp_seed1,"What scientist as well as a practising Roman Cathloic described the electronic voice phenomena as typically brief, usually the length of a work or short phrase?",5a77f4755542992a6e59e01f,"[23394, 24534]","[2705, 6949, 10460, 5514, 18434]",0.0,0.0,0.6893634796142578,0.0,,,0.0,0.0,0.0,OK,
65,65,contriever,dpp_seed1,"Spawn, a fictional character who Mustafa Shakir has expressed interest in playing, was created by?",5a78b5f7554299148911f95b,"[22840, 10815]","[15131, 14268, 6191, 22358, 10815]",0.5,0.2,0.6243208646774292,0.0,,,0.0,0.0,0.0,OK,
66,66,contriever,dpp_seed1,The show featuring a young boy named Gerald Bald Z premiered on what TV channel?,5a78bd515542990784727749,"[10604, 6450]","[13992, 24533, 12292, 18510, 16179]",0.0,0.0,0.5809186100959778,0.0,,,0.0,0.0,0.0,OK,
67,67,contriever,dpp_seed1,The southernmost administrative region of Denmark is well-known for creating what products?,5a78ce5d55429974737f78ac,"[8051, 8866]","[11904, 15673, 8662, 4591, 23275]",0.0,0.0,0.6037499308586121,0.0,,,0.0,0.0,0.0,OK,
68,68,contriever,dpp_seed1,"Orange is the New Black, starring Annie Golden as Norma Romano, takes place in which minimum-security federal prison?",5a78f18855429974737f7915,"[24525, 13229]","[6158, 2267, 23743, 7008, 16807]",0.0,0.0,0.6349322199821472,0.0,,,0.0,0.0,0.0,OK,
69,69,contriever,dpp_seed1,Mick Carter is the landlord of a public house located at what address?,5a78f59755429970f5fffdf7,"[16943, 5839]","[22724, 18978, 21836, 12686, 19380]",0.0,0.0,0.6663960218429565,0.0,,,0.0,0.0,0.0,OK,
70,70,contriever,dpp_seed1,What is the birthday of the oldest among Vicente García and Ximena Sariñana?,5a7914e155429974737f7973,"[18678, 4272]","[23941, 4272, 14829, 4009, 12149]",0.5,0.5,0.6187199354171753,0.0,,,0.0,0.0,0.0,OK,
71,71,contriever,dpp_seed1,"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",5a791a97554299148911f9f2,"[7040, 19925]","[20162, 14268, 19064, 11782, 14835]",0.0,0.0,0.6482609510421753,0.0,,,0.0,0.0,0.0,OK,
72,72,contriever,dpp_seed1,"Who was born first, Brooklyn Decker or Andy Roddick?",5a793bc95542994bb9456fc3,"[25392, 13425]","[16486, 13425, 8083, 23466, 20335]",0.5,0.5,0.6458814740180969,0.0,,,0.0,0.0,0.0,OK,
73,73,contriever,dpp_seed1,Amil Grove appeared in what  British tabloid published by News UK?,5a793d335542994bb9456fca,"[1497, 9333]","[13081, 11632, 4101, 12021, 24266]",0.0,0.0,0.5508908033370972,0.0,,,0.0,0.0,0.0,OK,
74,74,contriever,dpp_seed1,"Who was born first, Nellee Hooper or Baz Luhrmann?",5a794119554299029c4b5f3c,"[4565, 3093]","[21718, 1353, 16486, 7842, 10533]",0.0,0.0,0.6966635584831238,0.0,,,0.0,0.0,0.0,OK,
75,75,contriever,dpp_seed1,Eric Ambler and Carol Shields are both best Known for what profession?,5a79c1335542994bb9457066,"[20299, 23672]","[11091, 11444, 19686, 4365, 18870]",0.0,0.0,0.6477488875389099,0.0,,,0.0,0.0,0.0,OK,
76,76,contriever,dpp_seed1,Which two occupations does Ronnie Dunn and Annie Lennox have in common?,5a79c9395542994bb94570a2,"[23665, 8341]","[9859, 8341, 12021, 2267, 15903]",0.5,0.5,0.6602476239204407,0.0,,,0.0,0.0,0.0,OK,
77,77,contriever,dpp_seed1,Special K is a slang word for a medication whose main effects last how long?,5a7a05485542990198eaf04c,"[25402, 4011]","[587, 5000, 17680, 5398, 9421]",0.0,0.0,0.6194108724594116,0.0,,,0.0,0.0,0.0,OK,
78,78,contriever,dpp_seed1,When did Henrietta Ponsonby's father die?,5a7a0e745542990783324e1d,"[5058, 9931]","[2848, 10399, 23386, 23984, 4376]",0.0,0.0,0.6198657751083374,0.0,,,0.0,0.0,0.0,OK,
79,79,contriever,dpp_seed1,The Swallow Bluff Island Mounds is a Mississippian culture archaeological site that is located in this river which was once known by what name?,5a7a3d435542996a35c17154,"[11628, 11499]","[7480, 19191, 7938, 4575, 2250]",0.0,0.0,0.5997471213340759,0.0,,,0.0,0.0,0.0,OK,
80,80,contriever,dpp_seed1,Near the banks of what river is the city in Romania with a partner Aspen Institute located?,5a7a47be5542994f819ef1b2,"[3254, 14619]","[15051, 23275, 17014, 21358, 20867]",0.0,0.0,0.6287282109260559,0.0,,,0.0,0.0,0.0,OK,
81,81,contriever,dpp_seed1,"Who was born first, Lecrae Devaughn Moore or Gawvi?",5a7a650355429941d65f2615,"[20545, 12316]","[15266, 20111, 2111, 13140, 22207]",0.0,0.0,0.6048848032951355,0.0,,,0.0,0.0,0.0,OK,
82,82,contriever,dpp_seed1,What is the altitude of the town in England that has Leadgate between it and Garrigill?,5a7a94f155429941d65f26ca,"[25349, 15612]","[15612, 23443, 587, 19902, 2728]",0.5,1.0,0.675891101360321,0.0,,,0.0,0.0,0.0,OK,
83,83,contriever,dpp_seed1,"Who was born first, Chester Bennington or Mikael Stanne?",5a7aa2a255429941d65f270e,"[2563, 3708]","[5474, 284, 17853, 15903, 3708]",0.5,0.2,0.6699885129928589,0.0,,,0.0,0.0,0.0,OK,
84,84,contriever,dpp_seed1,Who passed away first Robert Graves or Dino Buzzati ?,5a7aa9425542992d025e66e4,"[15806, 24994]","[8757, 10203, 12877, 11150, 1521]",0.0,0.0,0.6196805238723755,0.0,,,0.0,0.0,0.0,OK,
85,85,contriever,dpp_seed1,Beena Sarwar is the editor of a peace initiative sponsored by a newpaper based in what city?,5a7af4cd55429931da12c9a6,"[13627, 25508]","[15797, 15051, 15922, 22348, 11070]",0.0,0.0,0.6600750684738159,0.0,,,0.0,0.0,0.0,OK,
86,86,contriever,dpp_seed1,Who is the older brother of the king that was overthrown in the Henriad?,5a7b3b4f5542992d025e67ac,"[9541, 19384]","[24201, 23696, 11210, 9541, 22670]",0.5,0.25,0.6328458189964294,0.0,,,0.0,0.0,0.0,OK,
87,87,contriever,dpp_seed1,"Who was the director behind the Cirque du Soleil show in Las Vegas that was first performed on December 25, 1993?",5a7b443c5542992d025e67ce,"[24681, 1590]","[22042, 1590, 20785, 2829, 2585]",0.5,0.5,0.5953494906425476,0.0,,,0.0,0.0,0.0,OK,
88,88,contriever,dpp_seed1,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?",5a7b4bc35542992d025e67e0,"[13861, 4279]","[2648, 13861, 18313, 10318, 2670]",0.5,0.5,0.6738265156745911,0.0,,,0.0,0.0,0.0,OK,
89,89,contriever,dpp_seed1,The Motion Picture Soundtrack The Woman in Red featured this American Singer who became a United Nations Ambassador for what organization?,5a7b72e15542997c3ec97187,"[23155, 3897]","[24525, 24709, 13726, 3246, 7978]",0.0,0.0,0.6832018494606018,0.0,,,0.0,0.0,0.0,OK,
90,90,contriever,dpp_seed1,"Who was born first, Ana Kasparian or Andre Agassi?",5a7c34905542996dd594b8d5,"[6559, 23466]","[16486, 23466, 10149, 18865, 17604]",0.5,0.5,0.6932554841041565,0.0,,,0.0,0.0,0.0,OK,
91,91,contriever,dpp_seed1,"Who is older, Simon Neil or Michael McKean?",5a7c64bc5542996dd594b913,"[25306, 25985]","[2435, 25985, 10533, 8175, 12537]",0.5,0.5,0.7304211854934692,0.0,,,0.0,0.0,0.0,OK,
92,92,contriever,dpp_seed1,What was the sequel of the game that e was published by U.S. Gold in 1992?,5a7c68575542996dd594b91c,"[1860, 25874]","[13090, 13877, 22227, 23755, 427]",0.0,0.0,0.6763629913330078,0.0,,,0.0,0.0,0.0,OK,
