question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,agglo_k3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[6294, 13379, 3658, 1531, 13366]",0.5,0.5,0.5920228958129883,0.0,,,0.0,0.0,0.0,OK,
1,1,dpr,agglo_k3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[98, 3539, 8329, 9086, 6208]",0.0,0.0,0.7081705927848816,0.0,,,0.0,0.0,0.0,OK,
2,2,dpr,agglo_k3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[17483, 20848, 261, 10255, 11231]",0.5,0.5,0.593798816204071,0.0,,,0.0,0.0,0.0,OK,
3,3,dpr,agglo_k3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[6410, 12797, 21957, 8952, 3736]",0.5,0.5,0.6889507174491882,0.0,,,0.0,0.0,0.0,OK,
4,4,dpr,agglo_k3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[24836, 191, 18264, 20325, 15197]",0.0,0.0,0.6334580183029175,0.0,,,0.0,0.0,0.0,OK,
5,5,dpr,agglo_k3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 4375, 24397, 19282, 24492]",1.0,1.0,0.6469130516052246,0.0,,,0.0,0.0,0.0,OK,
6,6,dpr,agglo_k3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[18690, 2753, 2764, 13557, 4824]",1.0,0.5,0.57545006275177,0.0,,,0.0,0.0,0.0,OK,
7,7,dpr,agglo_k3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24117, 19285, 2409, 13253, 17184]",0.5,0.5,0.6554455161094666,0.0,,,0.0,0.0,0.0,OK,
8,8,dpr,agglo_k3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[24096, 16868, 23334, 11589, 1698]",1.0,0.5,0.5926874876022339,0.0,,,0.0,0.0,0.0,OK,
9,9,dpr,agglo_k3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[10537, 4902, 4241, 18923, 6176]",0.5,0.5,0.6350963115692139,0.0,,,0.0,0.0,0.0,OK,
10,10,dpr,agglo_k3,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[23926, 14967, 18973, 6782, 2899]",0.5,1.0,0.7063757181167603,0.0,,,0.0,0.0,0.0,OK,
11,11,dpr,agglo_k3,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[13642, 12748, 7644, 12316, 19460]",1.0,0.5,0.662837028503418,0.0,,,0.0,0.0,0.0,OK,
12,12,dpr,agglo_k3,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 6340, 15658, 4524, 11032]",0.5,1.0,0.6323497295379639,0.0,,,0.0,0.0,0.0,OK,
13,13,dpr,agglo_k3,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[17943, 9131, 3015, 16842, 23227]",1.0,0.5,0.6660162210464478,0.0,,,0.0,0.0,0.0,OK,
14,14,dpr,agglo_k3,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 6353, 18961, 20302, 19385]",0.5,1.0,0.6505147218704224,0.0,,,0.0,0.0,0.0,OK,
15,15,dpr,agglo_k3,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[1492, 23804, 4545, 25829, 24993]",0.5,0.3333333333333333,0.6922510266304016,0.0,,,0.0,0.0,0.0,OK,
16,16,dpr,agglo_k3,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[13284, 19341, 15389, 1281, 11003]",1.0,0.5,0.6418720483779907,0.0,,,0.0,0.0,0.0,OK,
17,17,dpr,agglo_k3,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[9008, 25108, 4244, 12634, 25788]",0.5,0.3333333333333333,0.6590162515640259,0.0,,,0.0,0.0,0.0,OK,
18,18,dpr,agglo_k3,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[690, 7716, 4870, 25402, 8612]",1.0,0.5,0.6690686941146851,0.0,,,0.0,0.0,0.0,OK,
19,19,dpr,agglo_k3,"Who wrote the music for Billy Elliot the Musical and had at least one song on the ""Billboard"" Hot 100 for 31 consecutive years?",5a74629255429929fddd8402,"[10804, 21082]","[21600, 3468, 15494, 10847, 5741]",0.0,0.0,0.6104179620742798,0.0,,,0.0,0.0,0.0,OK,
20,20,dpr,agglo_k3,Which American main title designer designed sequences for the founder of the Sundance Film Festival?,5a7471f655429979e2882955,"[4890, 23681]","[4890, 19814, 6095, 23681, 15674]",1.0,1.0,0.710639476776123,0.0,,,0.0,0.0,0.0,OK,
21,21,dpr,agglo_k3,What is served shaken with ice and should not be mistaken with the name Margarita?,5a74be7a55429929fddd84e4,"[7079, 4039]","[3851, 4039, 22897, 25909, 25675]",0.5,0.5,0.5317628979682922,0.0,,,0.0,0.0,0.0,OK,
22,22,dpr,agglo_k3,What product by FLEXcon represents data by geometric patterns?,5a74c3f455429979e2882a0a,"[7688, 23564]","[14720, 7688, 1041, 13059, 20421]",0.5,0.5,0.7148486375808716,0.0,,,0.0,0.0,0.0,OK,
23,23,dpr,agglo_k3,Connetquot High School  is a public high school in what city in New York?,5a7506f455429916b0164240,"[2573, 1640]","[2573, 1172, 7354, 15549, 23784]",0.5,1.0,0.6194905042648315,0.0,,,0.0,0.0,0.0,OK,
24,24,dpr,agglo_k3,What year did the movement that Tess Asplund protested in the viral image of her with her fist in the air disband?,5a7526945542993748c897d2,"[21889, 8074]","[3441, 14709, 21889, 3509, 14435]",0.5,0.3333333333333333,0.7636548280715942,0.0,,,0.0,0.0,0.0,OK,
25,25,dpr,agglo_k3,"What song from the fourth studio album made by The Who reached No.4 on the UK charts and No. 19 o nthe U.S. ""Billboard"" Hot 100?",5a753c8c55429916b01642ab,"[5767, 3370]","[25402, 20747, 8042, 18283, 15264]",0.0,0.0,0.737093448638916,0.0,,,0.0,0.0,0.0,OK,
26,26,dpr,agglo_k3,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",5a7542425542996c70cfaecc,"[7681, 18798]","[2490, 20692, 11970, 14643, 23887]",0.0,0.0,0.7265332937240601,0.0,,,0.0,0.0,0.0,OK,
27,27,dpr,agglo_k3,"Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist, playwright, theatre director, and poet?",5a7545605542993748c89807,"[15201, 10071]","[15201, 10071, 24493, 3211, 6422]",1.0,1.0,0.6275586485862732,0.0,,,0.0,0.0,0.0,OK,
28,28,dpr,agglo_k3,"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",5a7555215542996c70cfaee1,"[9446, 2847]","[9446, 11986, 9830, 2287, 128]",0.5,1.0,0.7449733018875122,0.0,,,0.0,0.0,0.0,OK,
29,29,dpr,agglo_k3,"Which ""Roseanne"" star is in Scream 2?",5a7557d75542992d0ec05f68,"[23512, 11186]","[15877, 23512, 3975, 7002, 18366]",0.5,0.5,0.6689724922180176,0.0,,,0.0,0.0,0.0,OK,
30,30,dpr,agglo_k3,What show was Elena Shaddow in that was written by a relative of Richard Rodgers?,5a755f0a5542996c70cfaee7,"[25709, 9440]","[25085, 23502, 2226, 128, 25709]",0.5,0.2,0.7591671943664551,0.0,,,0.0,0.0,0.0,OK,
31,31,dpr,agglo_k3,"Which ""Mirrors"" actress made her film debut in the 2005 comedy film ""Hitch""?",5a7571095542992d0ec05f97,"[5780, 24053]","[5780, 18119, 11454, 3713, 14342]",0.5,1.0,0.6637486219406128,0.0,,,0.0,0.0,0.0,OK,
32,32,dpr,agglo_k3,Who was born first Mahbub ul Haq or Ibn Arabi?,5a7574e25542996c70cfaf01,"[24250, 5838]","[9870, 2614, 5838, 15551, 23732]",0.5,0.3333333333333333,0.6112939119338989,0.0,,,0.0,0.0,0.0,OK,
33,33,dpr,agglo_k3,Andrea Camplone is a football coach in which 22-team competition?,5a75d8dc5542992db94736f0,"[18063, 21614]","[20122, 9806, 12505, 6501, 10398]",0.0,0.0,0.7081200480461121,0.0,,,0.0,0.0,0.0,OK,
34,34,dpr,agglo_k3,"The Declaration of Montreal was the founding document of which world event, lasting from July 26-August 5, 2006?",5a75da6d5542992db94736fa,"[23670, 20385]","[20385, 8293, 22042, 23670, 24942]",1.0,1.0,0.6861332058906555,0.0,,,0.0,0.0,0.0,OK,
35,35,dpr,agglo_k3,"Who is younger, Pelle Almqvist or Steve Winwood?",5a75f0bf5542994ccc91866b,"[4900, 6621]","[11248, 7510, 24278, 2162, 9720]",0.0,0.0,0.7237524390220642,0.0,,,0.0,0.0,0.0,OK,
36,36,dpr,agglo_k3,"What actress and and writer starred with Jennifer Saunders in bothe ""The Supergrass"" and ""French and Saunders""?",5a7602d8554299109176e5fb,"[10750, 12015]","[7175, 4643, 10750, 14326, 5623]",0.5,0.3333333333333333,0.7093527913093567,0.0,,,0.0,0.0,0.0,OK,
37,37,dpr,agglo_k3,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,5a760ab65542994ccc918697,"[7215, 5425]","[7215, 3431, 22279, 5425, 9299]",1.0,1.0,0.7271395921707153,0.0,,,0.0,0.0,0.0,OK,
38,38,dpr,agglo_k3,Was the famous opera comique that was based on a Prosper Merimee novella a comedy or a tragedy?,5a7615fb5542992db9473727,"[1460, 15091]","[128, 25308, 23788, 25715, 1460]",0.5,0.2,0.664926290512085,0.0,,,0.0,0.0,0.0,OK,
39,39,dpr,agglo_k3,Who served as the head coach for the Grizzlies in the 2004-05 season and as head coach for the Brooklyn Nets?,5a7618d85542994ccc9186cf,"[11963, 14818]","[14818, 6038, 25268, 9032, 6016]",0.5,1.0,0.6703627705574036,0.0,,,0.0,0.0,0.0,OK,
40,40,dpr,agglo_k3,"Which album did the band Kraftwerk release after their successful album which reached number 25 on the US ""Billboard"" Hot 100 chart?",5a7621bb554299109176e650,"[23154, 4227]","[22995, 23204, 4227, 19835, 24206]",0.5,0.3333333333333333,0.6475513577461243,0.0,,,0.0,0.0,0.0,OK,
41,41,dpr,agglo_k3,When was the plaintiff in the 1892 Barbed Wire Patent Case born?,5a7624b85542992db947372c,"[16274, 24579]","[10920, 840, 16274, 5333, 24964]",0.5,0.3333333333333333,0.6788690090179443,0.0,,,0.0,0.0,0.0,OK,
42,42,dpr,agglo_k3,"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",5a7633ad5542992db9473741,"[25986, 8549]","[25986, 8549, 8378, 7256, 23963]",1.0,1.0,0.6677837371826172,0.0,,,0.0,0.0,0.0,OK,
43,43,dpr,agglo_k3,"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",5a7633ff5542994ccc918712,"[23901, 5723]","[3379, 5723, 12012, 11052, 23901]",1.0,0.5,0.6193856000900269,0.0,,,0.0,0.0,0.0,OK,
44,44,dpr,agglo_k3,Who was the wife of the president when William Bainbridge started his career?,5a7636fb55429976ec32bd79,"[2587, 202]","[11095, 202, 24430, 2592, 2587]",1.0,0.5,0.7246314287185669,0.0,,,0.0,0.0,0.0,OK,
45,45,dpr,agglo_k3,"Which university has more schools, Ateneo de Davao University or University of Rochester?",5a7651825542992d0ec060a3,"[163, 12131]","[163, 12131, 24769, 6190, 11594]",1.0,1.0,0.6084690690040588,0.0,,,0.0,0.0,0.0,OK,
46,46,dpr,agglo_k3,Who founded the collective which released the album Messe I.X-VI.X?,5a7662745542992db9473786,"[16502, 23431]","[25093, 3418, 16502, 18378, 5277]",0.5,0.3333333333333333,0.6882849931716919,0.0,,,0.0,0.0,0.0,OK,
47,47,dpr,agglo_k3,When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,5a76db3555429972597f13e7,"[16835, 6646]","[6646, 9334, 8766, 7235, 17319]",0.5,1.0,0.6620655059814453,0.0,,,0.0,0.0,0.0,OK,
48,48,dpr,agglo_k3,"Who is older, Ivan Foster or Ian Paisley?",5a77253455429972597f1449,"[18224, 25837]","[11248, 4249, 7721, 18224, 2696]",0.5,0.25,0.671421229839325,0.0,,,0.0,0.0,0.0,OK,
49,49,dpr,agglo_k3,Which software application was originally made for the company that acquired RadioShack in 1963?,5a77322055429972597f1494,"[645, 11956]","[11278, 11542, 23998, 11956, 22265]",0.5,0.25,0.6357982754707336,0.0,,,0.0,0.0,0.0,OK,
50,50,dpr,agglo_k3,"Who won Miss America 2013, which was the 86th Miss America pageant held at the PH Live in Las Vegas?",5a7735f55542994aec3b7226,"[15216, 13103]","[4126, 13103, 4050, 10821, 15216]",1.0,0.5,0.6860399842262268,0.0,,,0.0,0.0,0.0,OK,
51,51,dpr,agglo_k3,Who starred in Umm-e-Kulsoom whose mother was Afshan Qureshi?,5a77414155429972597f14d7,"[19527, 4872]","[23987, 14954, 19527, 20863, 15348]",0.5,0.3333333333333333,0.6430012583732605,0.0,,,0.0,0.0,0.0,OK,
52,52,dpr,agglo_k3,"What actress is known for a starring role in Robert Bresson's ""Pickpocket"" and has also been directed by Just Jaeckin, a former photographer?",5a77626b5542993569682d77,"[12786, 5419]","[20012, 12786, 16619, 15786, 25392]",0.5,0.5,0.7207795977592468,0.0,,,0.0,0.0,0.0,OK,
53,53,dpr,agglo_k3,What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,5a776b82554299373536026f,"[2849, 13370]","[13370, 6178, 2849, 6238, 167]",1.0,1.0,0.6128159761428833,0.0,,,0.0,0.0,0.0,OK,
54,54,dpr,agglo_k3,"Who was born first, Susan Oliver or W. S. Van Dyke?",5a778b345542992a6e59decf,"[4583, 24476]","[11970, 24193, 15476, 5058, 16564]",0.0,0.0,0.6899271607398987,0.0,,,0.0,0.0,0.0,OK,
55,55,dpr,agglo_k3,In what year were the European Athletics Junior Championships held in the capital of Slovenia?,5a779fd95542997042120ab5,"[10126, 17449]","[6240, 10126, 25496, 23556, 4996]",0.5,0.5,0.5432361960411072,0.0,,,0.0,0.0,0.0,OK,
56,56,dpr,agglo_k3,What year did Christopher Nolan's magic-themed drama come out?,5a77a41a5542997042120ab9,"[11314, 10290]","[7363, 2267, 5718, 14151, 10245]",0.0,0.0,0.6556481719017029,0.0,,,0.0,0.0,0.0,OK,
57,57,dpr,agglo_k3,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",5a77a65b5542992a6e59df57,"[22947, 22198]","[16029, 22947, 19476, 23079, 22198]",1.0,0.5,0.5213897824287415,0.0,,,0.0,0.0,0.0,OK,
58,58,dpr,agglo_k3,What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,5a77a9df55429967ab10521c,"[2490, 23359]","[18796, 2490, 3950, 25534, 12119]",0.5,0.5,0.6930476427078247,0.0,,,0.0,0.0,0.0,OK,
59,59,dpr,agglo_k3,"What is the species of animal which the town of Antelope, Kansas was named after?",5a77c09555429967ab105262,"[10221, 5206]","[5206, 23220, 10221, 2854, 18788]",1.0,1.0,0.6813796758651733,0.0,,,0.0,0.0,0.0,OK,
60,60,dpr,agglo_k3,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",5a77c1505542997042120b1b,"[4167, 1573]","[5234, 1807, 7716, 269, 318]",0.0,0.0,0.6939892172813416,0.0,,,0.0,0.0,0.0,OK,
61,61,dpr,agglo_k3,"Which band formed in England, Of Montreal or Vib Gyor?",5a77c74155429967ab105291,"[23850, 24150]","[5277, 23850, 10886, 23631, 25927]",0.5,0.5,0.7083739042282104,0.0,,,0.0,0.0,0.0,OK,
62,62,dpr,agglo_k3,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",5a77cb5e55429967ab1052a7,"[18801, 23611]","[15705, 18801, 24318, 15539, 23611]",1.0,0.5,0.6875653266906738,0.0,,,0.0,0.0,0.0,OK,
63,63,dpr,agglo_k3,"The True Colors World Tour was by what artist whose debut album was ""She's So Unusual""?",5a77ddb855429967ab1052d8,"[15195, 25141]","[5638, 15195, 24502, 5593, 25141]",1.0,0.5,0.6267812848091125,0.0,,,0.0,0.0,0.0,OK,
64,64,dpr,agglo_k3,"What scientist as well as a practising Roman Cathloic described the electronic voice phenomena as typically brief, usually the length of a work or short phrase?",5a77f4755542992a6e59e01f,"[23394, 24534]","[1337, 24534, 9830, 22774, 23394]",1.0,0.5,0.7544480562210083,0.0,,,0.0,0.0,0.0,OK,
65,65,dpr,agglo_k3,"Spawn, a fictional character who Mustafa Shakir has expressed interest in playing, was created by?",5a78b5f7554299148911f95b,"[22840, 10815]","[8752, 15350, 10815, 6119, 1898]",0.5,0.3333333333333333,0.7112979292869568,0.0,,,0.0,0.0,0.0,OK,
66,66,dpr,agglo_k3,The show featuring a young boy named Gerald Bald Z premiered on what TV channel?,5a78bd515542990784727749,"[10604, 6450]","[6450, 16576, 8534, 13380, 17639]",0.5,1.0,0.6033676266670227,0.0,,,0.0,0.0,0.0,OK,
67,67,dpr,agglo_k3,The southernmost administrative region of Denmark is well-known for creating what products?,5a78ce5d55429974737f78ac,"[8051, 8866]","[17490, 9865, 19346, 2109, 8051]",0.5,0.2,0.634512186050415,0.0,,,0.0,0.0,0.0,OK,
68,68,dpr,agglo_k3,"Orange is the New Black, starring Annie Golden as Norma Romano, takes place in which minimum-security federal prison?",5a78f18855429974737f7915,"[24525, 13229]","[24525, 21478, 7568, 13229, 14377]",1.0,1.0,0.6628009676933289,0.0,,,0.0,0.0,0.0,OK,
69,69,dpr,agglo_k3,Mick Carter is the landlord of a public house located at what address?,5a78f59755429970f5fffdf7,"[16943, 5839]","[22724, 3142, 16943, 25229, 19745]",0.5,0.3333333333333333,0.7026032209396362,0.0,,,0.0,0.0,0.0,OK,
70,70,dpr,agglo_k3,What is the birthday of the oldest among Vicente García and Ximena Sariñana?,5a7914e155429974737f7973,"[18678, 4272]","[10994, 9660, 14305, 19833, 9890]",0.0,0.0,0.623688280582428,0.0,,,0.0,0.0,0.0,OK,
71,71,dpr,agglo_k3,"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?",5a791a97554299148911f9f2,"[7040, 19925]","[19925, 18366, 5191, 14342, 22002]",0.5,1.0,0.691990315914154,0.0,,,0.0,0.0,0.0,OK,
72,72,dpr,agglo_k3,"Who was born first, Brooklyn Decker or Andy Roddick?",5a793bc95542994bb9456fc3,"[25392, 13425]","[22394, 24193, 252, 23926, 12700]",0.0,0.0,0.7200708389282227,0.0,,,0.0,0.0,0.0,OK,
73,73,dpr,agglo_k3,Amil Grove appeared in what  British tabloid published by News UK?,5a793d335542994bb9456fca,"[1497, 9333]","[17210, 7459, 9333, 23183, 14230]",0.5,0.3333333333333333,0.6888352632522583,0.0,,,0.0,0.0,0.0,OK,
74,74,dpr,agglo_k3,"Who was born first, Nellee Hooper or Baz Luhrmann?",5a794119554299029c4b5f3c,"[4565, 3093]","[3231, 930, 24964, 20692, 3010]",0.0,0.0,0.7641754150390625,0.0,,,0.0,0.0,0.0,OK,
75,75,dpr,agglo_k3,Eric Ambler and Carol Shields are both best Known for what profession?,5a79c1335542994bb9457066,"[20299, 23672]","[25591, 13743, 8469, 8596, 2154]",0.0,0.0,0.7377052903175354,0.0,,,0.0,0.0,0.0,OK,
76,76,dpr,agglo_k3,Which two occupations does Ronnie Dunn and Annie Lennox have in common?,5a79c9395542994bb94570a2,"[23665, 8341]","[10303, 969, 11738, 21048, 23665]",0.5,0.2,0.7126315236091614,0.0,,,0.0,0.0,0.0,OK,
77,77,dpr,agglo_k3,Special K is a slang word for a medication whose main effects last how long?,5a7a05485542990198eaf04c,"[25402, 4011]","[9119, 4011, 4469, 11150, 7554]",0.5,0.5,0.6547302007675171,0.0,,,0.0,0.0,0.0,OK,
78,78,dpr,agglo_k3,When did Henrietta Ponsonby's father die?,5a7a0e745542990783324e1d,"[5058, 9931]","[11970, 25094, 10271, 5058, 24385]",0.5,0.25,0.6805986166000366,0.0,,,0.0,0.0,0.0,OK,
79,79,dpr,agglo_k3,The Swallow Bluff Island Mounds is a Mississippian culture archaeological site that is located in this river which was once known by what name?,5a7a3d435542996a35c17154,"[11628, 11499]","[11628, 19191, 9386, 3305, 3721]",0.5,1.0,0.6574279069900513,0.0,,,0.0,0.0,0.0,OK,
