question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,dpp_seed1,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[6685, 18062, 22703, 21088, 12295]",0.0,0.0,0.6688186526298523,0.0,,,0.0,0.0,0.0,OK,
1,1,bm25,dpp_seed1,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[14080, 17927, 13201, 20423, 21005]",0.0,0.0,0.7343707084655762,0.0,,,0.0,0.0,0.0,OK,
2,2,bm25,dpp_seed1,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[2867, 20848, 8530, 609, 19750]",0.5,0.5,0.697170615196228,0.0,,,0.0,0.0,0.0,OK,
3,3,bm25,dpp_seed1,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[25990, 12797, 7948, 20089, 6524]",1.0,0.5,0.6738582253456116,0.0,,,0.0,0.0,0.0,OK,
4,4,bm25,dpp_seed1,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[10880, 13664, 9528, 12693, 4164]",0.0,0.0,0.6241934895515442,0.0,,,0.0,0.0,0.0,OK,
5,5,bm25,dpp_seed1,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[13564, 24706, 11166, 19758, 19282]",0.0,0.0,0.6910139322280884,0.0,,,0.0,0.0,0.0,OK,
6,6,bm25,dpp_seed1,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[1647, 21202, 18690, 8360, 10701]",0.0,0.0,0.5036593675613403,0.0,,,0.0,0.0,0.0,OK,
7,7,bm25,dpp_seed1,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[3467, 9076, 19036, 19285, 1136]",0.5,0.25,0.7299230694770813,0.0,,,0.0,0.0,0.0,OK,
8,8,bm25,dpp_seed1,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[23315, 1662, 4085, 4104, 17597]",0.0,0.0,0.6465441584587097,0.0,,,0.0,0.0,0.0,OK,
9,9,bm25,dpp_seed1,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[22505, 5508, 25052, 24543, 18268]",0.0,0.0,0.7401880025863647,0.0,,,0.0,0.0,0.0,OK,
11,11,bm25,dpp_seed1,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[17928, 6892, 24436, 6028, 15218]",0.0,0.0,0.7492026090621948,0.0,,,0.0,0.0,0.0,OK,
12,12,bm25,dpp_seed1,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[4055, 15486, 2705, 24848, 7819]",0.0,0.0,0.6303979754447937,0.0,,,0.0,0.0,0.0,OK,
13,13,bm25,dpp_seed1,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[12986, 9449, 6105, 6648, 20278]",0.0,0.0,0.6276329755783081,0.0,,,0.0,0.0,0.0,OK,
14,14,bm25,dpp_seed1,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[648, 13264, 10727, 7079, 17036]",0.5,0.5,0.6844127774238586,0.0,,,0.0,0.0,0.0,OK,
16,16,bm25,dpp_seed1,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[6711, 11168, 780, 3442, 6178]",0.0,0.0,0.6649150252342224,0.0,,,0.0,0.0,0.0,OK,
17,17,bm25,dpp_seed1,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[25108, 16020, 15007, 8158, 25788]",0.0,0.0,0.5761921405792236,0.0,,,0.0,0.0,0.0,OK,
18,18,bm25,dpp_seed1,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[25220, 7716, 3074, 9442, 1573]",0.5,0.5,0.6751648783683777,0.0,,,0.0,0.0,0.0,OK,
20,20,bm25,dpp_seed1,Which American main title designer designed sequences for the founder of the Sundance Film Festival?,5a7471f655429979e2882955,"[4890, 23681]","[22065, 4890, 3844, 12655, 5997]",0.5,0.5,0.6896452307701111,0.0,,,0.0,0.0,0.0,OK,
21,21,bm25,dpp_seed1,What is served shaken with ice and should not be mistaken with the name Margarita?,5a74be7a55429929fddd84e4,"[7079, 4039]","[11066, 24829, 17981, 8926, 10480]",0.0,0.0,0.7212188839912415,0.0,,,0.0,0.0,0.0,OK,
22,22,bm25,dpp_seed1,What product by FLEXcon represents data by geometric patterns?,5a74c3f455429979e2882a0a,"[7688, 23564]","[19467, 23564, 1307, 18170, 15264]",0.5,0.5,0.6823127865791321,0.0,,,0.0,0.0,0.0,OK,
