question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,dpp_map,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13379, 6294, 13366, 1531, 22041]",0.5,1.0,0.5844858884811401,0.9988559484481812,qwen3.5-122b,"Based on the provided context, the piece Ludwig van Beethoven published in 1801 that was dedicated to Count Moritz von Fries is the **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"").

The context also notes that Beethoven dedicated two other works to Count Moritz von Fries in the same year: the **C major string quintet** and the **fourth violin sonata**.",0.0,0.0,0.0,OK,
1,1,dpr,dpp_map,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[98, 3539, 9086, 6208, 17813]",0.0,0.0,0.7502431869506836,0.09858915209770203,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
2,2,dpr,dpp_map,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 11231, 11616, 8822, 6288]",0.5,1.0,0.6011873483657837,0.02618970163166523,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
3,3,dpr,dpp_map,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 21957, 8952, 3736, 5755]",0.5,1.0,0.7334407567977905,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,dpr,dpp_map,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[18264, 24836, 15197, 191, 20325]",0.0,0.0,0.6334580183029175,0.025067947804927826,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
5,5,dpr,dpp_map,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 4375, 24492, 23380, 20061]",1.0,1.0,0.6862889528274536,0.3470291197299957,qwen3.5-122b,"Based on the provided context, the first king to start a production of coins in Copenhagen was King Hans (Document 1). According to Document 2, John (Danish: ""Hans"") was born on **2 February 1455**.",0.0,0.0,0.0,OK,
6,6,dpr,dpp_map,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 4824, 10701, 13038, 17288]",1.0,1.0,0.5887759923934937,0.4312719404697418,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 1 states that while the Nusretiye Mosque's architecture is influenced by Islamic elements, ""it retains a Baroque style, making it unique to the city."" Document 2 describes the Bayezid II Mosque as an Ottoman imperial mosque but does not mention a Baroque style.",0.0,0.0,0.0,OK,
7,7,dpr,dpp_map,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 24117, 19816, 12706, 23852]",0.5,1.0,0.7375863790512085,0.06675776094198227,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
8,8,dpr,dpp_map,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 1698, 11594, 8163, 24096]",1.0,1.0,0.526930570602417,0.9992350935935974,qwen3.5-122b,"Based on the provided context, the University of North Carolina at Wilmington (UNCW) is located in **Wilmington, North Carolina, United States**.

The context notes that Wilmington is a port city with a population of 112,067 (according to the 2010 Census).",0.0,0.0,0.0,OK,
9,9,dpr,dpp_map,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[10537, 4902, 4241, 18923, 6176]",0.5,0.5,0.6350963115692139,0.07655473798513412,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
10,10,dpr,dpp_map,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[23926, 18973, 14967, 19224, 4796]",0.5,1.0,0.6600682139396667,0.2591175138950348,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
11,11,dpr,dpp_map,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[12748, 12316, 13642, 24458, 19460]",1.0,1.0,0.6829828023910522,0.7127733826637268,qwen3.5-122b,"Based on the provided context, the pop artist (specifically a South Korean boy group) that belongs to the Pledis Entertainment label and has 13 members is **Seventeen**.

Document 1 states that Pledis Entertainment is home to the artist Seventeen, and Document 5 confirms that Seventeen is a group formed by Pledis Entertainment consisting of thirteen members.",0.0,0.0,0.0,OK,
12,12,dpr,dpp_map,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 4524, 11092, 2760, 15658]",0.5,1.0,0.6143315434455872,0.022820813581347466,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
13,13,dpr,dpp_map,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[9131, 23227, 17943, 16842, 18479]",1.0,1.0,0.6665525436401367,0.9895001649856567,qwen3.5-122b,"Based on the provided context, in the television series *The Green Hornet*, the role of Kato was played by **Bruce Lee**.

This is confirmed in Document 1, which states the series starred ""Bruce Lee as Kato,"" and Document 2, which notes that ""in the television series he was portrayed by Bruce Lee.""",0.0,0.0,0.0,OK,
14,14,dpr,dpp_map,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 20302, 6353, 18961, 11235]",0.5,1.0,0.647970974445343,0.1027086079120636,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
15,15,dpr,dpp_map,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[4545, 23804, 1492, 11199, 24993]",0.5,1.0,0.7216408252716064,0.051252011209726334,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
16,16,dpr,dpp_map,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[19341, 15389, 11189, 13284, 1281]",1.0,1.0,0.659864068031311,0.00863516703248024,qwen3.5-122b,"Based on the provided context, **Obsession** has been around longer.

*   **Obsession** was released in **1977** (Document 2).
*   **Battle Sheep** was developed in **2010** (Document 1).",0.0,0.0,0.0,OK,
17,17,dpr,dpp_map,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[4244, 9008, 16330, 25216, 12634]",1.0,1.0,0.6448688507080078,0.4258241057395935,qwen3.5-122b,"Based on the provided context, the **Kanichee Mine** was in service first.

The text states that the Kanichee Mine zone has been explored and mined discontinuously from as early as **1910**, whereas the Salmita Mine entered production in **1983** (though it was first discovered in 1945).",0.0,0.0,0.0,OK,
