question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,contriever,kmeans_k5,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[21976, 4536, 18062, 21922, 22664]",0.0,0.0,0.6302924752235413,0.0,,,0.0,0.0,0.0,OK,
1,1,contriever,kmeans_k5,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2219, 15025, 2917, 8367, 24685]",1.0,1.0,0.6499984264373779,0.0,,,0.0,0.0,0.0,OK,
2,2,contriever,kmeans_k5,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[23055, 14432, 20848, 12397, 7188]",0.5,0.3333333333333333,0.5894227027893066,0.0,,,0.0,0.0,0.0,OK,
3,3,contriever,kmeans_k5,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[7636, 12797, 266, 13718, 2268]",0.5,0.5,0.6678951978683472,0.0,,,0.0,0.0,0.0,OK,
4,4,contriever,kmeans_k5,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[23010, 22193, 4634, 9785, 20212]",0.0,0.0,0.5306047201156616,0.0,,,0.0,0.0,0.0,OK,
5,5,contriever,kmeans_k5,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[14401, 1602, 15673, 20640, 17430]",0.5,0.3333333333333333,0.5730046033859253,0.0,,,0.0,0.0,0.0,OK,
6,6,contriever,kmeans_k5,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[16934, 14960, 2753, 6757, 14017]",0.5,0.3333333333333333,0.5664312839508057,0.0,,,0.0,0.0,0.0,OK,
7,7,contriever,kmeans_k5,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[5293, 25545, 11479, 25848, 19285]",0.5,0.2,0.679081916809082,0.0,,,0.0,0.0,0.0,OK,
8,8,contriever,kmeans_k5,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[20695, 1697, 1698, 13609, 6191]",0.5,0.3333333333333333,0.6089348793029785,0.0,,,0.0,0.0,0.0,OK,
9,9,contriever,kmeans_k5,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[18510, 6978, 6176, 14835, 4902]",0.5,0.2,0.609842836856842,0.0,,,0.0,0.0,0.0,OK,
