question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,mmr_1.0,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13379, 13366, 6294, 7304, 1531]",1.0,1.0,0.5121703743934631,0.5836723446846008,qwen3.5-122b,"Based on the provided context, the piece Ludwig van Beethoven published in 1801 that was dedicated to Count Moritz von Fries is the **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"").

Document 1 states that this sonata was published in 1801 and its dedicatee was Count Moritz von Fries. While Document 4 mentions that Beethoven's Symphony No. 7 was also dedicated to Count Moritz von Fries, it was composed between 1811 and 1812, not published in 1801.",0.0,0.0,0.0,OK,
1,1,dpr,mmr_1.0,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[98, 3539, 6208, 9086, 8329]",0.0,0.0,0.7081705927848816,0.09858915209770203,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
2,2,dpr,mmr_1.0,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 11231, 11616, 8822, 5958]",1.0,1.0,0.4900205731391907,0.9979134202003479,qwen3.5-122b,"Based on the provided context, the Albanian Coalition ""Perspective"" is an **Albanian political party in Montenegro**.",0.0,0.0,0.0,OK,
3,3,dpr,mmr_1.0,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 3736, 21957, 1814, 6410]",0.5,1.0,0.6144031286239624,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,dpr,mmr_1.0,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[18264, 24836, 191, 20325, 15197]",0.0,0.0,0.6334579586982727,0.025067947804927826,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
5,5,dpr,mmr_1.0,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 19282, 4375, 20061, 1808]",1.0,1.0,0.5940196514129639,0.6491430997848511,qwen3.5-122b,"Based on the provided context, the first king to start a production of coins in Copenhagen was King Hans (Document 1). According to Document 3, John (Danish: ""Hans"") was born on 2 February 1455.

Answer: 2 February 1455",0.0,0.0,0.0,OK,
6,6,dpr,mmr_1.0,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 4824, 10701, 13038, 9607]",1.0,1.0,0.494870126247406,0.518840491771698,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 1 states that while the Nusretiye Mosque's architecture is influenced by Islamic elements, ""it retains a Baroque style, making it unique to the city."" Document 2 describes the Bayezid II Mosque as an Ottoman imperial mosque but does not mention a Baroque style.",0.0,0.0,0.0,OK,
7,7,dpr,mmr_1.0,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 17184, 24117, 24161, 19816]",1.0,1.0,0.6684467196464539,0.0008701316546648741,qwen3.5-122b,"Based on the provided context, **Texas Highways** is the publication that still relies on paper printing.

*   **Document 1** describes *Texas Highways* as a ""monthly magazine,"" implying a print format, and does not mention a transition to digital-only.
*   **Document 4** explicitly states that *Human Events* ""became a digital-only publication in 2013.""",0.0,0.0,0.0,OK,
8,8,dpr,mmr_1.0,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 1698, 24409, 11594, 8163]",1.0,1.0,0.45525479316711426,0.9653346538543701,qwen3.5-122b,"The University of North Carolina at Wilmington (UNCW) is located in Wilmington, North Carolina, United States. Wilmington is a port city and the county seat of New Hanover County in coastal southeastern North Carolina, with a population of 112,067 according to the 2010 Census.",0.0,0.0,0.0,OK,
9,9,dpr,mmr_1.0,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[10537, 4902, 6176, 4241, 18923]",0.5,0.5,0.6350963115692139,0.07655473798513412,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
10,10,dpr,mmr_1.0,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[23926, 18973, 14967, 19224, 4796]",0.5,1.0,0.6600682139396667,0.2591175138950348,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
11,11,dpr,mmr_1.0,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[12748, 19460, 13642, 12316, 24458]",1.0,1.0,0.6829828023910522,0.4039243757724762,qwen3.5-122b,"Based on the provided context, the pop artist (specifically a South Korean boy group) that belongs to Pledis Entertainment and consists of 13 members is **Seventeen**.

*   **Document 1** states that Pledis Entertainment is home to the artist **Seventeen**.
*   **Document 2** confirms that **Seventeen** was formed by Pledis Entertainment and ""consists of **thirteen members**.""",0.0,0.0,0.0,OK,
12,12,dpr,mmr_1.0,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 4524, 11092, 25491, 2760]",1.0,1.0,0.5785582065582275,0.9992009401321411,qwen3.5-122b,Astrosat is India's first dedicated multi-wavelength space observatory.,0.0,0.0,0.0,OK,
13,13,dpr,mmr_1.0,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[9131, 23227, 17943, 16842, 4152]",1.0,1.0,0.6464110612869263,0.9895001649856567,qwen3.5-122b,"Based on the provided context, in the television series *The Green Hornet*, the role of Kato was played by **Bruce Lee**.

This is confirmed in Document 1, which states the series starred ""Bruce Lee as Kato,"" and Document 2, which notes that ""in the television series he was portrayed by Bruce Lee.""",0.0,0.0,0.0,OK,
14,14,dpr,mmr_1.0,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 20302, 8447, 18866, 11235]",0.5,1.0,0.4923529624938965,0.1027086079120636,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
15,15,dpr,mmr_1.0,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[4545, 23804, 1492, 24993, 25829]",0.5,1.0,0.6922510266304016,0.09213098883628845,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
16,16,dpr,mmr_1.0,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[19341, 15389, 11189, 11003, 10613]",1.0,1.0,0.5714815855026245,0.0069930278696119785,qwen3.5-122b,"Based on the provided context, **Obsession** has been around longer.

*   **Obsession** was released in **1977** (Document 2).
*   **Battle Sheep** was released in **2010** (Document 1).",0.0,0.0,0.0,OK,
17,17,dpr,mmr_1.0,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[4244, 16330, 9008, 25216, 23965]",1.0,1.0,0.5927561521530151,0.6544110774993896,qwen3.5-122b,"Based on the provided context, the **Kanichee Mine** was in service first.

The context states that the Kanichee Mine zone has been explored and mined discontinuously from as early as **1910**, whereas the Salmita Mine was first discovered in 1945 and did not enter production until **1983**.",0.0,0.0,0.0,OK,
18,18,dpr,mmr_1.0,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[7716, 8612, 690, 4870, 25402]",1.0,1.0,0.6690686941146851,0.900145411491394,qwen3.5-122b,"Based on the provided context, the album is **Love Drunk**, and its lead single is titled **""Love Drunk""**.

Document 1 states that *Love Drunk* is the second studio album by Boys Like Girls, fronted by Martin Johnson, and that its lead single is titled ""Love Drunk"". Document 2 confirms that the song ""Two Is Better Than One"" from this album features Taylor Swift and was written by Martin Johnson and Swift. Therefore, the lead single from the album where Martin Johnson co-wrote a song with Taylor Swift is ""Love Drunk"".

A: Love Drunk",0.0,0.0,0.0,OK,
