question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,agglo_k3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13379, 14371, 4536, 7304, 12290]",1.0,1.0,0.6296076774597168,0.0,,,0.0,0.0,0.0,OK,
1,1,colbertv2,agglo_k3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 2219, 9006, 14075, 24465]",1.0,1.0,0.6824265718460083,0.0,,,0.0,0.0,0.0,OK,
2,2,colbertv2,agglo_k3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[9985, 5308, 20848, 5295, 7713]",0.5,0.3333333333333333,0.6210111975669861,0.0,,,0.0,0.0,0.0,OK,
3,3,colbertv2,agglo_k3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 20064, 5755, 13775, 4731]",0.5,1.0,0.6626871228218079,0.0,,,0.0,0.0,0.0,OK,
4,4,colbertv2,agglo_k3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[18440, 17083, 21400, 721, 6272]",0.5,0.5,0.650478720664978,0.0,,,0.0,0.0,0.0,OK,
5,5,colbertv2,agglo_k3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 5080, 22877, 24397, 4375]",1.0,1.0,0.6760425567626953,0.0,,,0.0,0.0,0.0,OK,
6,6,colbertv2,agglo_k3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[13665, 2753, 2904, 10509, 4824]",1.0,0.5,0.6056822538375854,0.0,,,0.0,0.0,0.0,OK,
7,7,colbertv2,agglo_k3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 25852, 24161, 11005, 24260]",1.0,1.0,0.6194015145301819,0.0,,,0.0,0.0,0.0,OK,
8,8,colbertv2,agglo_k3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[11589, 1698, 16868, 5025, 1697]",1.0,0.5,0.5411522388458252,0.0,,,0.0,0.0,0.0,OK,
9,9,colbertv2,agglo_k3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[13962, 1873, 4902, 19603, 24963]",0.5,0.3333333333333333,0.7070023417472839,0.0,,,0.0,0.0,0.0,OK,
10,10,colbertv2,agglo_k3,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[486, 23926, 7425, 4705, 9575]",0.5,0.5,0.7641372084617615,0.0,,,0.0,0.0,0.0,OK,
11,11,colbertv2,agglo_k3,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[3898, 12748, 7044, 15218, 19460]",1.0,0.5,0.6714725494384766,0.0,,,0.0,0.0,0.0,OK,
12,12,colbertv2,agglo_k3,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 2259, 4524, 25491, 6340]",1.0,1.0,0.6020014882087708,0.0,,,0.0,0.0,0.0,OK,
13,13,colbertv2,agglo_k3,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[23227, 19971, 3015, 9131, 19574]",1.0,1.0,0.6572769284248352,0.0,,,0.0,0.0,0.0,OK,
14,14,colbertv2,agglo_k3,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13967, 13264, 25155, 22693, 8447]",1.0,1.0,0.700710117816925,0.0,,,0.0,0.0,0.0,OK,
