question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,dpp_map,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[7304, 13366, 13379, 4600, 21484]",1.0,1.0,0.5897477269172668,0.9612457752227783,qwen3.5-122b,"Based on the provided context, the piece Ludwig van Beethoven published in 1801 that was dedicated to Count Moritz von Fries is the **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"").

Document 3 states: ""The Violin Sonata No. 5 in F major, Opus 24... was published in 1801. Its dedicatee was Count Moritz von Fries.""",0.0,0.0,0.0,OK,
1,1,bm25,dpp_map,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 2219, 9549, 13201, 17927]",1.0,1.0,0.6940783858299255,0.008117218501865864,qwen3.5-122b,"Based on the provided context, **Scott Treleaven** is the one credited with working in both films and photography.

*   **Document 1** states that Scott Treleaven's work employs media including ""film"" and ""photography.""
*   **Document 2** states that Edmund Mortimer was an ""actor and film director"" but does not mention photography.",0.0,0.0,0.0,OK,
2,2,bm25,dpp_map,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 3378, 10723, 2867, 4179]",0.5,1.0,0.744292676448822,0.01791178248822689,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
3,3,bm25,dpp_map,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 11513, 11318, 23108, 20211]",0.5,1.0,0.6889377236366272,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,bm25,dpp_map,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 13664, 2050, 21400, 12115]",1.0,1.0,0.6193572282791138,0.9768987894058228,qwen3.5-122b,"Based on the provided context, Reima Juhani Karppinen won a silver medal in the **double sculls** event at the **1981 World Rowing Championships**, which were held outside Munich, Germany.",0.0,0.0,0.0,OK,
5,5,bm25,dpp_map,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 24706, 17790, 13960, 11166]",0.5,1.0,0.7115178108215332,0.03528808802366257,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
6,6,bm25,dpp_map,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[4824, 2753, 21202, 13038, 22257]",1.0,1.0,0.5035383701324463,0.803020715713501,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 2 states that the Nusretiye Mosque ""retains a Baroque style, making it unique to the city,"" whereas Document 1 describes the Bayezid II Mosque as an Ottoman imperial mosque without mentioning a Baroque style.",0.0,0.0,0.0,OK,
7,7,bm25,dpp_map,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24161, 10574, 6664, 9076, 19036]",0.5,1.0,0.6597893834114075,0.9966578483581543,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
8,8,bm25,dpp_map,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 5025, 1662, 23044, 23652]",0.5,1.0,0.6488981246948242,0.3381734788417816,qwen3.5-122b,"Based on the provided context, the University of North Carolina at Wilmington (UNCW) is located in **Wilmington, North Carolina, United States**.

(Note: The provided text does not mention the population of 112,067, but it does confirm the location of the university.)",0.0,0.0,0.0,OK,
9,9,bm25,dpp_map,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 5508, 21750, 9257, 22471]",1.0,1.0,0.7600587606430054,0.4221438467502594,qwen3.5-122b,"Based on the provided context, Gail Matthius co-anchored the Weekend Update segment with **Charles Rocket** (Document 1). Document 3 states that Charles Rocket played the villain **Nicholas Andre** in the film **""Dumb and Dumber""**.

Answer: Dumb and Dumber",0.0,0.0,0.0,OK,
10,10,bm25,dpp_map,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[19993, 8352, 13608, 21249, 23926]",0.5,0.2,0.6984724998474121,0.09831742197275162,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
