question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,contriever,agglo_k3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[18062, 21976, 4536, 7304, 22717]",0.5,0.25,0.5205274820327759,0.0,,,0.0,0.0,0.0,OK,
1,1,contriever,agglo_k3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 15025, 24685, 25565, 2219]",1.0,1.0,0.622387170791626,0.0,,,0.0,0.0,0.0,OK,
2,2,contriever,agglo_k3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[23055, 20848, 14432, 5958, 8822]",1.0,0.5,0.5223990678787231,0.0,,,0.0,0.0,0.0,OK,
3,3,contriever,agglo_k3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[266, 12797, 2268, 12149, 1814]",0.5,0.5,0.6231932640075684,0.0,,,0.0,0.0,0.0,OK,
4,4,contriever,agglo_k3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[20212, 4634, 23010, 984, 24836]",0.0,0.0,0.5155843496322632,0.0,,,0.0,0.0,0.0,OK,
5,5,contriever,agglo_k3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[14401, 17430, 15673, 19282, 10362]",0.5,0.3333333333333333,0.5793190002441406,0.0,,,0.0,0.0,0.0,OK,
6,6,contriever,agglo_k3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[16934, 2753, 13665, 14017, 4824]",1.0,0.5,0.5267940759658813,0.0,,,0.0,0.0,0.0,OK,
7,7,contriever,agglo_k3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[11479, 19285, 17113, 25848, 25545]",0.5,0.5,0.6554586887359619,0.0,,,0.0,0.0,0.0,OK,
8,8,contriever,agglo_k3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[24409, 20695, 1698, 16868, 3633]",1.0,0.3333333333333333,0.531143069267273,0.0,,,0.0,0.0,0.0,OK,
9,9,contriever,agglo_k3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 6176, 9411, 13086, 6748]",0.5,1.0,0.5621164441108704,0.0,,,0.0,0.0,0.0,OK,
10,10,contriever,agglo_k3,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[17244, 23926, 25619, 24665, 9962]",0.5,0.5,0.681108295917511,0.0,,,0.0,0.0,0.0,OK,
11,11,contriever,agglo_k3,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[8940, 12748, 6, 16807, 19460]",1.0,0.5,0.6109824180603027,0.0,,,0.0,0.0,0.0,OK,
12,12,contriever,agglo_k3,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[17579, 12372, 24876, 22227, 1071]",0.5,0.3333333333333333,0.665970504283905,0.0,,,0.0,0.0,0.0,OK,
13,13,contriever,agglo_k3,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[20959, 21395, 9131, 25166, 8591]",0.5,0.3333333333333333,0.6805557012557983,0.0,,,0.0,0.0,0.0,OK,
14,14,contriever,agglo_k3,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[7163, 9454, 13264, 252, 19682]",0.5,0.3333333333333333,0.638167679309845,0.0,,,0.0,0.0,0.0,OK,
