question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,kmeans_k5,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[4600, 19964, 7304, 22703, 12295]",0.5,0.3333333333333333,0.6678146123886108,0.0,,,0.0,0.0,0.0,OK,
1,1,bm25,kmeans_k5,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[9549, 24009, 2917, 3320, 14080]",0.5,0.3333333333333333,0.7199915051460266,0.0,,,0.0,0.0,0.0,OK,
2,2,bm25,kmeans_k5,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[16583, 20848, 3378, 21764, 8530]",0.5,0.5,0.7105674743652344,0.0,,,0.0,0.0,0.0,OK,
3,3,bm25,kmeans_k5,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[9275, 20211, 12797, 11318, 11513]",0.5,0.3333333333333333,0.6393663883209229,0.0,,,0.0,0.0,0.0,OK,
4,4,bm25,kmeans_k5,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 3715, 13664, 19475, 2050]",0.5,1.0,0.6125398278236389,0.0,,,0.0,0.0,0.0,OK,
5,5,bm25,kmeans_k5,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[20581, 25131, 24706, 17790, 15673]",0.5,0.2,0.7041717171669006,0.0,,,0.0,0.0,0.0,OK,
6,6,bm25,kmeans_k5,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[13038, 21202, 4824, 18966, 2826]",0.5,0.3333333333333333,0.6557801961898804,0.0,,,0.0,0.0,0.0,OK,
7,7,bm25,kmeans_k5,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[17152, 6198, 10574, 17613, 24161]",0.5,0.2,0.6635550260543823,0.0,,,0.0,0.0,0.0,OK,
8,8,bm25,kmeans_k5,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[1555, 23044, 16868, 17597, 5485]",0.5,0.3333333333333333,0.683578610420227,0.0,,,0.0,0.0,0.0,OK,
9,9,bm25,kmeans_k5,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[25985, 21750, 5508, 4902, 24907]",1.0,0.5,0.739834725856781,0.0,,,0.0,0.0,0.0,OK,
