question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,kmeans_k5,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[22041, 1531, 13366, 3658, 13379]",0.5,0.2,0.6254903078079224,0.0,,,0.0,0.0,0.0,OK,
1,1,dpr,kmeans_k5,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[19756, 3539, 6208, 6057, 98]",0.0,0.0,0.6903422474861145,0.0,,,0.0,0.0,0.0,OK,
2,2,dpr,kmeans_k5,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 10255, 11231, 8822, 17483]",0.5,1.0,0.587180495262146,0.0,,,0.0,0.0,0.0,OK,
3,3,dpr,kmeans_k5,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[5755, 10663, 12797, 1814, 21957]",0.5,0.3333333333333333,0.668231189250946,0.0,,,0.0,0.0,0.0,OK,
4,4,dpr,kmeans_k5,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[14118, 24836, 191, 15197, 18264]",0.0,0.0,0.6409453749656677,0.0,,,0.0,0.0,0.0,OK,
5,5,dpr,kmeans_k5,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[1808, 4375, 15673, 24397, 24713]",1.0,0.5,0.6687818169593811,0.0,,,0.0,0.0,0.0,OK,
6,6,dpr,kmeans_k5,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[13557, 2764, 2753, 17288, 10509]",0.5,0.3333333333333333,0.6577942371368408,0.0,,,0.0,0.0,0.0,OK,
7,7,dpr,kmeans_k5,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[14662, 24117, 19285, 23852, 19816]",0.5,0.3333333333333333,0.7212745547294617,0.0,,,0.0,0.0,0.0,OK,
8,8,dpr,kmeans_k5,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[14656, 25906, 11594, 23334, 16868]",0.5,0.2,0.5998711585998535,0.0,,,0.0,0.0,0.0,OK,
9,9,dpr,kmeans_k5,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[1886, 12304, 4902, 18923, 10537]",0.5,0.3333333333333333,0.6990793347358704,0.0,,,0.0,0.0,0.0,OK,
