question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,dpp_map,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13379, 7304, 14371, 10832, 25642]",1.0,1.0,0.6820173859596252,0.9988559484481812,qwen3.5-122b,"Based on the provided context, the piece Ludwig van Beethoven published in 1801 that was dedicated to Count Moritz von Fries is the **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"").

The context also notes that Beethoven dedicated two other works to Count Moritz von Fries in the same year: the **C major string quintet** and the **fourth violin sonata**.",0.0,0.0,0.0,OK,
1,1,colbertv2,dpp_map,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2219, 2917, 9006, 24465, 18361]",1.0,1.0,0.7072620391845703,0.0079213697463274,qwen3.5-122b,"Based on the provided context, **Scott Treleaven** is the man credited with working in both films and photography.

*   **Document 2** states that Scott Treleaven's work employs a variety of media including ""film"" and ""photography.""
*   **Document 1** states that Edmund Mortimer was an ""actor and film director"" who appeared in and directed films, but it does not mention photography.",0.0,0.0,0.0,OK,
2,2,colbertv2,dpp_map,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 5295, 9985, 8822, 415]",0.5,1.0,0.6300454139709473,0.03656259551644325,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
3,3,colbertv2,dpp_map,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 13775, 5755, 3736, 20064]",0.5,1.0,0.6488646268844604,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,colbertv2,dpp_map,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 6272, 18440, 21400, 15315]",0.5,1.0,0.6806738972663879,0.996340811252594,qwen3.5-122b,"Based on the provided context, Reima Juhani Karppinen won a silver medal at the **1981 World Rowing Championships**.

(Note: The context does not explicitly state the location of the 1981 World Rowing Championships, but it is the only event mentioned where he won a silver medal.)",0.0,0.0,0.0,OK,
5,5,colbertv2,dpp_map,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 24397, 23380, 5080, 919]",0.5,1.0,0.6844578981399536,0.10566264390945435,qwen3.5-122b,"Based on the provided context, I cannot answer this question.

Document 1 states that **King Hans** was the first king to start a production of coins in Copenhagen, but it does not provide his birth date. Document 4 provides the birth date for **Christopher of Bavaria**, but the text does not identify him as the king who started coin production in Copenhagen.",0.0,0.0,0.0,OK,
6,6,colbertv2,dpp_map,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 13038, 4824, 13665, 10701]",1.0,1.0,0.5182102918624878,0.5282801985740662,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 1 states that while the Nusretiye Mosque's architecture is influenced by Islamic elements, ""it retains a Baroque style, making it unique to the city."" The context does not mention a Baroque style for the Bayezid II Mosque.",0.0,0.0,0.0,OK,
7,7,colbertv2,dpp_map,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 24161, 25852, 11005, 15046]",1.0,1.0,0.6195531487464905,0.03175106644630432,qwen3.5-122b,"Based on the provided context, **Texas Highways** still relies on paper printing.

The text states that *Texas Highways* is a ""monthly magazine,"" whereas *Human Events* ""became a digital-only publication in 2013.""",0.0,0.0,0.0,OK,
8,8,colbertv2,dpp_map,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 1698, 11589, 11594, 25825]",1.0,1.0,0.5793284177780151,0.9556869864463806,qwen3.5-122b,"The University of North Carolina at Wilmington is located in Wilmington, North Carolina, United States. Wilmington is a port city and the county seat of New Hanover County in coastal southeastern North Carolina, with a population of 112,067 according to the 2010 Census.",0.0,0.0,0.0,OK,
9,9,colbertv2,dpp_map,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 21750, 13962, 25985, 25085]",1.0,1.0,0.7343174815177917,0.5763997435569763,qwen3.5-122b,"Based on the provided context, Gail Matthius co-anchored the Weekend Update segment with **Charles Rocket** (Document 1). Charles Rocket played the villain **Nicholas Andre** in the film **""Dumb and Dumber""** (Document 2).

Answer: Dumb and Dumber",0.0,0.0,0.0,OK,
10,10,colbertv2,dpp_map,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[23926, 9575, 486, 14967, 13179]",0.5,1.0,0.7273365259170532,0.7817351818084717,qwen3.5-122b,"Based on the provided context, the text describes **Patricia Campbell ""Patty"" Hearst** as the woman who was kidnapped by the Symbionese Liberation Army. However, the provided documents do not mention an author who wrote a book or story about her capture; Document 1 only provides a biographical summary of Hearst herself.

Therefore, I cannot answer this based on the provided context.",0.0,0.0,0.0,OK,
11,11,colbertv2,dpp_map,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[12748, 19460, 3898, 7044, 25459]",1.0,1.0,0.6849455833435059,0.48007190227508545,qwen3.5-122b,"Based on the provided context, the pop artist (specifically a South Korean boy group) that belongs to the Pledis Entertainment label and has 13 members is **Seventeen**.

*   **Document 1** states that Pledis Entertainment is home to the artist **Seventeen**.
*   **Document 2** confirms that **Seventeen** was formed by Pledis Entertainment and consists of **thirteen members**.",0.0,0.0,0.0,OK,
12,12,colbertv2,dpp_map,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 25491, 4524, 5411, 2259]",1.0,1.0,0.6250307559967041,0.9990171790122986,qwen3.5-122b,Astrosat is India's first dedicated multi-wavelength space observatory. It was launched on a PSLV-XL on 28 September 2015.,0.0,0.0,0.0,OK,
13,13,colbertv2,dpp_map,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[23227, 9131, 19971, 9011, 25392]",1.0,1.0,0.6796356439590454,0.988527774810791,qwen3.5-122b,"Based on the provided context, in the television series *The Green Hornet*, the role of Kato was played by **Bruce Lee**.

This is confirmed in Document 1, which states, ""in the television series he was portrayed by Bruce Lee,"" and in Document 2, which notes the series starred ""Bruce Lee as Kato.""",0.0,0.0,0.0,OK,
14,14,colbertv2,dpp_map,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 13967, 25155, 6353, 22693]",1.0,1.0,0.7497780919075012,0.9057026505470276,qwen3.5-122b,"Based on the provided context, the National Gallery of Art is located in Washington, D.C. The text does not explicitly state which state Washington, D.C. belongs to (as it is a federal district), but it specifies the location as ""Washington, D.C.""

Answer: Washington, D.C.",0.0,0.0,0.0,OK,
15,15,colbertv2,dpp_map,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[4545, 18774, 23385, 24213, 4190]",0.5,1.0,0.723490834236145,0.06834200024604797,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
16,16,colbertv2,dpp_map,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[19341, 15389, 780, 16453, 15367]",1.0,1.0,0.7098380327224731,0.0069930278696119785,qwen3.5-122b,"Based on the provided context, **Obsession** has been around longer.

*   **Obsession** was released in **1977** (Document 2).
*   **Battle Sheep** was released in **2010** (Document 1).",0.0,0.0,0.0,OK,
17,17,colbertv2,dpp_map,"Which famous mine was in service first, the Salmita Mine or the Kanichee Mine?",5a739323554299623ed4abff,"[4244, 25216]","[4244, 25216, 142, 2196, 22962]",1.0,1.0,0.7061087489128113,0.6544110774993896,qwen3.5-122b,"Based on the provided context, the **Kanichee Mine** was in service first.

The context states that the Kanichee Mine zone has been explored and mined discontinuously from as early as **1910**, whereas the Salmita Mine was first discovered in 1945 and did not enter production until **1983**.",0.0,0.0,0.0,OK,
18,18,colbertv2,dpp_map,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",5a74122f55429929fddd83da,"[7716, 8612]","[8612, 7716, 5992, 12148, 3577]",1.0,1.0,0.6563531756401062,0.6187055110931396,qwen3.5-122b,"Based on the provided context, the album is **Love Drunk**, and its lead single is **""Love Drunk""**.

Document 2 states that *Love Drunk* is the second studio album by Boys Like Girls, fronted by Martin Johnson. It explicitly identifies the lead single as ""Love Drunk,"" released on July 7, 2009. Document 1 confirms that Martin Johnson co-wrote the song ""Two Is Better Than One"" (which features Taylor Swift) on this same album. Therefore, the lead single from the album where Johnson co-wrote a song with Swift is ""Love Drunk.""",0.0,0.0,0.0,OK,
19,19,colbertv2,dpp_map,"Who wrote the music for Billy Elliot the Musical and had at least one song on the ""Billboard"" Hot 100 for 31 consecutive years?",5a74629255429929fddd8402,"[10804, 21082]","[24687, 10804, 21082, 10200, 11428]",1.0,0.5,0.7065591812133789,0.16005359590053558,qwen3.5-122b,"Based on the provided context, **Elton John** wrote the music for *Billy Elliot the Musical* (Document 2) and had at least one song in the ""Billboard"" Hot 100 for 31 consecutive years (1970–2000) (Document 3).",0.0,0.0,0.0,OK,
20,20,colbertv2,dpp_map,Which American main title designer designed sequences for the founder of the Sundance Film Festival?,5a7471f655429979e2882955,"[4890, 23681]","[4890, 23681, 14730, 15485, 17751]",1.0,1.0,0.731162428855896,0.10173916071653366,qwen3.5-122b,"Based on the provided context, the founder of the Sundance Film Festival is **Robert Redford** (Document 2). The American main title designer who designed sequences for him is **Wayne Fitzgerald** (Document 1).",0.0,0.0,0.0,OK,
