question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,dpp_seed3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[2124, 672, 1531, 22041, 8327]",0.0,0.0,0.6205248832702637,0.0,,,0.0,0.0,0.0,OK,
1,1,dpr,dpp_seed3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[19756, 17813, 8329, 24239, 3539]",0.0,0.0,0.7119451761245728,0.0,,,0.0,0.0,0.0,OK,
2,2,dpr,dpp_seed3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[5958, 261, 17483, 6288, 8822]",0.5,1.0,0.6132014393806458,0.0,,,0.0,0.0,0.0,OK,
3,3,dpr,dpp_seed3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[1814, 7329, 21957, 13775, 15783]",0.0,0.0,0.6381379961967468,0.0,,,0.0,0.0,0.0,OK,
4,4,dpr,dpp_seed3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[19463, 15876, 8173, 18538, 14118]",0.0,0.0,0.6680488586425781,0.0,,,0.0,0.0,0.0,OK,
5,5,dpr,dpp_seed3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[24492, 12239, 1808, 23380, 24397]",0.0,0.0,0.6878964900970459,0.0,,,0.0,0.0,0.0,OK,
6,6,dpr,dpp_seed3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[21624, 13665, 13557, 17288, 2764]",0.0,0.0,0.6483955383300781,0.0,,,0.0,0.0,0.0,OK,
7,7,dpr,dpp_seed3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[13253, 2409, 19816, 12706, 24260]",0.0,0.0,0.7250124216079712,0.0,,,0.0,0.0,0.0,OK,
8,8,dpr,dpp_seed3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[11589, 5025, 24096, 1172, 2544]",0.0,0.0,0.6546944975852966,0.0,,,0.0,0.0,0.0,OK,
9,9,dpr,dpp_seed3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[18210, 1886, 18923, 6748, 17856]",0.0,0.0,0.667677640914917,0.0,,,0.0,0.0,0.0,OK,
